1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
65, beach, minecraft:beach, MONSTER, rottencreatures:undead_miner, 20, 1, 4
66, beach, minecraft:beach, MONSTER, rottencreatures:dead_beard, 10, 1, 1
67, beach, minecraft:beach, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
68, beach, minecraft:beach, CREATURE, minecraft:turtle, 10, 2, 5
69, beach, minecraft:beach, CREATURE, naturalist:coral_snake, 10, 1, 1
70, beach, minecraft:beach, CREATURE, pesky_seagulls:seagull, 20, 3, 5
71, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
72, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
73, beach, minecraft:beach, HYBRID_AQUATIC_JELLY, hybrid-aquatic:box_jellyfish, 10, 1, 1
74, beach, minecraft:beach, HYBRID_AQUATIC_JELLY, hybrid-aquatic:moon_jellyfish, 10, 2, 5
75, beach, minecraft:beach, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:coconut_crab, 10, 1, 2
76, beach, minecraft:beach, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:dungeness_crab, 10, 1, 2
77, beach, minecraft:beach, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:ghost_crab, 10, 1, 2
78, beach, minecraft:beach, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:hermit_crab, 10, 1, 2
79, beach, minecraft:beach, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:horseshoe_crab, 10, 1, 2
80, beach, minecraft:beach, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
81, beach, minecraft:beach, HYBRID_AQUATIC_MAMMAL, hybrid-aquatic:otter, 10, 0, 2
82, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
83, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
84, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
85, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
86, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
87, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
88, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
89, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 10, 1, 1
90, forest, minecraft:birch_forest, MONSTER, rottencreatures:undead_miner, 20, 1, 4
91, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
92, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
93, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
94, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
95, forest, minecraft:birch_forest, CREATURE, naturalist:bear, 10, 1, 2
96, forest, minecraft:birch_forest, CREATURE, naturalist:boar, 15, 4, 4
97, forest, minecraft:birch_forest, CREATURE, naturalist:cardinal, 10, 1, 4
98, forest, minecraft:birch_forest, CREATURE, naturalist:deer, 10, 1, 3
99, forest, minecraft:birch_forest, CREATURE, naturalist:finch, 10, 1, 4
100, forest, minecraft:birch_forest, CREATURE, minecraft:fox, 10, 2, 4
101, forest, minecraft:birch_forest, CREATURE, naturalist:lizard, 15, 1, 2
102, forest, minecraft:birch_forest, CREATURE, minecraft:rabbit, 10, 2, 3
103, forest, minecraft:birch_forest, CREATURE, naturalist:robin, 10, 1, 4
104, forest, minecraft:birch_forest, CREATURE, naturalist:snail, 10, 1, 3
105, forest, minecraft:birch_forest, CREATURE, naturalist:snake, 10, 1, 1
106, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
107, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
108, private, spectrum:black_langast, MONSTER, spectrum:eraser, 50, 4, 8
109, private, spectrum:black_langast, MONSTER, minecraft:zombie, 80, 4, 4
110, private, spectrum:black_langast, MONSTER, minecraft:skeleton, 80, 4, 4
111, private, spectrum:black_langast, MONSTER, minecraft:creeper, 80, 4, 4
112, private, spectrum:black_langast, MONSTER, minecraft:stray, 25, 4, 8
113, private, spectrum:black_langast, AMBIENT, minecraft:bat, 10, 8, 8
114, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:spider, 80, 4, 4
115, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie, 80, 4, 4
116, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
117, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:skeleton, 80, 4, 4
118, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:slime, 80, 4, 4
119, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 10, 1, 1
120, extreme_hills, minecraft:cherry_grove, MONSTER, rottencreatures:undead_miner, 20, 1, 4
121, extreme_hills, minecraft:cherry_grove, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
122, extreme_hills, minecraft:cherry_grove, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
123, extreme_hills, minecraft:cherry_grove, MONSTER, endermanoverhaul:flower_fields_enderman, 10, 1, 2
124, extreme_hills, minecraft:cherry_grove, MONSTER, creeperoverhaul:hills_creeper, 75, 2, 2
125, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 10, 1, 2
126, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 10, 2, 6
127, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 10, 2, 4
128, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:canary, 10, 1, 4
129, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:deer, 10, 1, 3
130, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:robin, 10, 1, 4
131, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:snail, 10, 1, 3
132, extreme_hills, minecraft:cherry_grove, CREATURE, naturalist:sparrow, 10, 1, 4
133, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
134, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
135, extreme_hills, minecraft:cherry_grove, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:carp, 10, 0, 2
136, extreme_hills, minecraft:cherry_grove, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:goldfish, 10, 1, 2
137, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
138, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
139, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
140, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
141, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
142, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
143, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
144, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 10, 1, 1
145, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
146, ocean, minecraft:cold_ocean, MONSTER, rottencreatures:undead_miner, 20, 1, 4
147, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
148, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 1
149, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 1
150, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
151, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
152, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:herring, 10, 4, 12
153, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:mackerel, 10, 4, 12
154, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:arrow_squid, 10, 1, 2
155, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:blue_jellyfish, 10, 1, 2
156, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:lions_mane_jellyfish, 10, 1, 1
157, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:nomura_jellyfish, 10, 1, 1
158, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:basking_shark, 10, 1, 1
159, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:giant_isopod, 10, 1, 2
160, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:spider_crab, 10, 1, 2
161, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
162, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_slug, 10, 0, 2
163, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
164, ocean, minecraft:cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
165, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 10, 2, 4
166, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 10, 3, 4
167, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 10, 3, 4
168, nether, minecraft:crimson_forest, MONSTER, endermanoverhaul:crimson_forest_enderman, 10, 1, 2
169, nether, minecraft:crimson_forest, MONSTER, minecraft:ghast, 7, 4, 4
170, nether, minecraft:crimson_forest, CREATURE, minecraft:strider, 60, 1, 2
171, private, galosphere:crystal_canyons, MONSTER, minecraft:spider, 80, 4, 4
172, private, galosphere:crystal_canyons, MONSTER, minecraft:zombie, 80, 4, 4
173, private, galosphere:crystal_canyons, MONSTER, minecraft:zombie_villager, 10, 1, 1
174, private, galosphere:crystal_canyons, MONSTER, minecraft:skeleton, 80, 4, 4
175, private, galosphere:crystal_canyons, MONSTER, minecraft:creeper, 80, 4, 4
176, private, galosphere:crystal_canyons, MONSTER, minecraft:slime, 80, 4, 4
177, private, galosphere:crystal_canyons, MONSTER, minecraft:enderman, 10, 1, 4
178, private, galosphere:crystal_canyons, MONSTER, minecraft:witch, 10, 1, 1
179, private, galosphere:crystal_canyons, AMBIENT, minecraft:bat, 10, 8, 8
180, private, galosphere:crystal_canyons, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
181, private, galosphere:crystal_canyons, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
182, private, galosphere:crystal_canyons, UNDERGROUND_WATER_CREATURE, galosphere:sparkle, 10, 4, 6
183, private, spectrum:crystal_gardens, CREATURE, minecraft:sniffer, 10, 3, 4
184, private, spectrum:crystal_gardens, AMBIENT, minecraft:bat, 10, 8, 8
185, private, spectrum:crystal_gardens, AXOLOTLS, minecraft:axolotl, 10, 1, 2
186, private, spectrum:crystal_gardens, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 2
187, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
188, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
189, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
190, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
191, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
192, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 10, 1, 1
193, forest, minecraft:dark_forest, MONSTER, rottencreatures:undead_miner, 20, 1, 4
194, forest, minecraft:dark_forest, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
195, forest, minecraft:dark_forest, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
196, forest, minecraft:dark_forest, MONSTER, creeperoverhaul:dark_oak_creeper, 75, 2, 2
197, forest, minecraft:dark_forest, MONSTER, endermanoverhaul:dark_oak_enderman, 10, 1, 4
198, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
199, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
200, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
201, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 10, 4, 4
202, forest, minecraft:dark_forest, CREATURE, naturalist:bear, 10, 1, 2
203, forest, minecraft:dark_forest, CREATURE, naturalist:boar, 15, 4, 4
204, forest, minecraft:dark_forest, CREATURE, naturalist:cardinal, 10, 1, 4
205, forest, minecraft:dark_forest, CREATURE, naturalist:deer, 10, 1, 3
206, forest, minecraft:dark_forest, CREATURE, naturalist:finch, 10, 1, 4
207, forest, minecraft:dark_forest, CREATURE, minecraft:fox, 10, 2, 4
208, forest, minecraft:dark_forest, CREATURE, naturalist:lizard, 15, 1, 2
209, forest, minecraft:dark_forest, CREATURE, minecraft:rabbit, 10, 2, 3
210, forest, minecraft:dark_forest, CREATURE, naturalist:robin, 10, 1, 4
211, forest, minecraft:dark_forest, CREATURE, naturalist:snail, 10, 1, 3
212, forest, minecraft:dark_forest, CREATURE, naturalist:snake, 10, 1, 1
213, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
214, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
215, private, spectrum:deep_barrens, MONSTER, minecraft:zombie, 80, 4, 4
216, private, spectrum:deep_barrens, MONSTER, minecraft:skeleton, 80, 4, 4
217, private, spectrum:deep_barrens, MONSTER, minecraft:creeper, 80, 4, 4
218, private, spectrum:deep_barrens, MONSTER, minecraft:stray, 25, 4, 8
219, private, spectrum:deep_barrens, MONSTER, minecraft:phantom, 10, 1, 2
220, private, spectrum:deep_barrens, AMBIENT, minecraft:bat, 10, 8, 8
221, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
222, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
223, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
224, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
225, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
226, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
227, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
228, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:witch, 10, 1, 1
229, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
230, ocean, minecraft:deep_cold_ocean, MONSTER, rottencreatures:undead_miner, 20, 1, 4
231, ocean, minecraft:deep_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
232, ocean, minecraft:deep_cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 1
233, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 1
234, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
235, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
236, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:anglerfish, 10, 1, 2
237, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:mackerel, 10, 4, 12
238, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:ratfish, 10, 1, 3
239, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:sea_angel, 10, 1, 2
240, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:snailfish, 10, 1, 3
241, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:arrow_squid, 10, 1, 2
242, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:big_red_jellyfish, 10, 1, 1
243, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:blue_jellyfish, 10, 1, 2
244, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:cosmic_jellyfish, 10, 1, 1
245, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:crown_jellyfish, 10, 1, 1
246, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:firework_jellyfish, 10, 1, 1
247, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:lions_mane_jellyfish, 10, 1, 1
248, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:mauve_stinger, 10, 1, 3
249, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_JELLY, hybrid-aquatic:nomura_jellyfish, 10, 1, 1
250, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_SHARK, hybrid-aquatic:basking_shark, 10, 1, 1
251, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:giant_isopod, 10, 1, 2
252, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:spider_crab, 10, 1, 2
253, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRUSTACEAN, hybrid-aquatic:yeti_crab, 10, 1, 2
254, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
255, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_cucumber, 10, 1, 2
256, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
257, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:sea_urchin, 10, 0, 2
258, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
259, ocean, minecraft:deep_cold_ocean, HYBRID_AQUATIC_CRITTER, hybrid-aquatic:starfish, 10, 0, 2
260, private, minecraft:deep_dark, CREATURE, naturalist:snail, 10, 1, 3
261, private, minecraft:deep_dark, HYBRID_AQUATIC_RIVER_FISH, hybrid-aquatic:tetra, 10, 2, 3
262, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
263, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
264, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:drowned, 25, 4, 8
265, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:slime, 10, 1, 3
266, private, spectrum:deep_dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
267, private, spectrum:deep_dripstone_caves, WATER_AMBIENT, minecraft:cod, 15, 3, 6
268, private, spectrum:deep_dripstone_caves, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
269, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
270, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
271, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
272, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
273, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
274, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
275, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
276, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:witch, 10, 1, 1
277, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:drowned, 10, 1, 1
278, ocean, minecraft:deep_frozen_ocean, MONSTER, rottencreatures:undead_miner, 20, 1, 4
279, ocean, minecraft:deep_frozen_ocean, CREATURE, minecraft:polar_bear, 10, 1, 2
280, ocean, minecraft:deep_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
281, ocean, minecraft:deep_frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 1
282, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 1
283, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
284, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:anglerfish, 10, 1, 2
285, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:ratfish, 10, 1, 3
286, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:sea_angel, 10, 1, 2
287, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_FISH, hybrid-aquatic:snailfish, 10, 1, 3
288, ocean, minecraft:deep_frozen_ocean, HYBRID_AQUATIC_CEPHALOPOD, hybrid-aquatic:arrow_squid, 10, 1, 2
