"Registry name","Map color (hex)","Map color (int)"
"comforts:hammock_white","#C7C7C7","13092807"
"comforts:hammock_yellow","#C7C7C7","13092807"
"comforts:rope_and_nail","#C7C7C7","13092807"
"comforts:sleeping_bag_black","#C7C7C7","13092807"
"comforts:sleeping_bag_blue","#C7C7C7","13092807"
"comforts:sleeping_bag_brown","#C7C7C7","13092807"
"comforts:sleeping_bag_cyan","#C7C7C7","13092807"
"comforts:sleeping_bag_gray","#C7C7C7","13092807"
"comforts:sleeping_bag_green","#C7C7C7","13092807"
"comforts:sleeping_bag_light_blue","#C7C7C7","13092807"
"comforts:sleeping_bag_light_gray","#C7C7C7","13092807"
"comforts:sleeping_bag_lime","#C7C7C7","13092807"
"comforts:sleeping_bag_magenta","#C7C7C7","13092807"
"comforts:sleeping_bag_orange","#C7C7C7","13092807"
"comforts:sleeping_bag_pink","#C7C7C7","13092807"
"comforts:sleeping_bag_purple","#C7C7C7","13092807"
"comforts:sleeping_bag_red","#C7C7C7","13092807"
"comforts:sleeping_bag_white","#C7C7C7","13092807"
"comforts:sleeping_bag_yellow","#C7C7C7","13092807"
"creeperoverhaul:potted_tiny_cactus","#000000","0"
"creeperoverhaul:tiny_cactus","#000000","0"
"ecologics:azalea_button","#000000","0"
"ecologics:azalea_door","#8F7748","9402184"
"ecologics:azalea_fence","#8F7748","9402184"
"ecologics:azalea_fence_gate","#8F7748","9402184"
"ecologics:azalea_flower","#000000","0"
"ecologics:azalea_hanging_sign","#000000","0"
"ecologics:azalea_log","#8F7748","9402184"
"ecologics:azalea_planks","#8F7748","9402184"
"ecologics:azalea_pressure_plate","#8F7748","9402184"
"ecologics:azalea_sign","#000000","0"
"ecologics:azalea_slab","#8F7748","9402184"
"ecologics:azalea_stairs","#8F7748","9402184"
"ecologics:azalea_trapdoor","#8F7748","9402184"
"ecologics:azalea_wall_hanging_sign","#000000","0"
"ecologics:azalea_wall_sign","#000000","0"
"ecologics:azalea_wood","#8F7748","9402184"
"ecologics:coconut","#000000","0"
"ecologics:coconut_button","#000000","0"
"ecologics:coconut_door","#8F7748","9402184"
"ecologics:coconut_fence","#8F7748","9402184"
"ecologics:coconut_fence_gate","#8F7748","9402184"
"ecologics:coconut_hanging_sign","#000000","0"
"ecologics:coconut_leaves","#007C00","31744"
"ecologics:coconut_log","#8F7748","9402184"
"ecologics:coconut_planks","#8F7748","9402184"
"ecologics:coconut_pressure_plate","#8F7748","9402184"
"ecologics:coconut_seedling","#000000","0"
"ecologics:coconut_sign","#000000","0"
"ecologics:coconut_slab","#8F7748","9402184"
"ecologics:coconut_stairs","#8F7748","9402184"
"ecologics:coconut_trapdoor","#8F7748","9402184"
"ecologics:coconut_wall_hanging_sign","#000000","0"
"ecologics:coconut_wall_sign","#000000","0"
"ecologics:coconut_wood","#8F7748","9402184"
"ecologics:flowering_azalea_door","#8F7748","9402184"
"ecologics:flowering_azalea_fence","#8F7748","9402184"
"ecologics:flowering_azalea_fence_gate","#8F7748","9402184"
"ecologics:flowering_azalea_hanging_sign","#000000","0"
"ecologics:flowering_azalea_log","#8F7748","9402184"
"ecologics:flowering_azalea_planks","#8F7748","9402184"
"ecologics:flowering_azalea_sign","#000000","0"
"ecologics:flowering_azalea_slab","#8F7748","9402184"
"ecologics:flowering_azalea_stairs","#8F7748","9402184"
"ecologics:flowering_azalea_trapdoor","#8F7748","9402184"
"ecologics:flowering_azalea_wall_hanging_sign","#000000","0"
"ecologics:flowering_azalea_wall_sign","#000000","0"
"ecologics:flowering_azalea_wood","#8F7748","9402184"
"ecologics:hanging_coconut","#000000","0"
"ecologics:ice_brick_slab","#000000","0"
"ecologics:ice_brick_stairs","#000000","0"
"ecologics:ice_brick_wall","#000000","0"
"ecologics:ice_bricks","#000000","0"
"ecologics:moss_layer","#667F33","6717235"
"ecologics:pot","#D87F33","14188339"
"ecologics:potted_azalea_flower","#000000","0"
"ecologics:potted_coconut_seedling","#000000","0"
"ecologics:potted_walnut_sapling","#000000","0"
"ecologics:prickly_pear","#000000","0"
"ecologics:sandcastle","#F7E9A3","16247203"
"ecologics:seashell","#664C33","6704179"
"ecologics:seashell_block","#664C33","6704179"
"ecologics:seashell_tile_slab","#664C33","6704179"
"ecologics:seashell_tile_stairs","#664C33","6704179"
"ecologics:seashell_tile_wall","#664C33","6704179"
"ecologics:seashell_tiles","#664C33","6704179"
"ecologics:snow_brick_slab","#000000","0"
"ecologics:snow_brick_stairs","#000000","0"
"ecologics:snow_brick_wall","#000000","0"
"ecologics:snow_bricks","#000000","0"
"ecologics:stripped_azalea_log","#8F7748","9402184"
"ecologics:stripped_azalea_wood","#8F7748","9402184"
"ecologics:stripped_coconut_log","#8F7748","9402184"
"ecologics:stripped_coconut_wood","#8F7748","9402184"
"ecologics:stripped_walnut_log","#8F7748","9402184"
"ecologics:stripped_walnut_wood","#8F7748","9402184"
"ecologics:surface_moss","#667F33","6717235"
"ecologics:thin_ice","#000000","0"
"ecologics:walnut_button","#000000","0"
"ecologics:walnut_door","#8F7748","9402184"
"ecologics:walnut_fence","#8F7748","9402184"
"ecologics:walnut_fence_gate","#8F7748","9402184"
"ecologics:walnut_hanging_sign","#000000","0"
"ecologics:walnut_leaves","#007C00","31744"
"ecologics:walnut_log","#8F7748","9402184"
"ecologics:walnut_planks","#8F7748","9402184"
"ecologics:walnut_pressure_plate","#8F7748","9402184"
"ecologics:walnut_sapling","#007C00","31744"
"ecologics:walnut_sign","#000000","0"
"ecologics:walnut_slab","#8F7748","9402184"
"ecologics:walnut_stairs","#8F7748","9402184"
"ecologics:walnut_trapdoor","#8F7748","9402184"
"ecologics:walnut_wall_hanging_sign","#000000","0"
"ecologics:walnut_wall_sign","#000000","0"
"ecologics:walnut_wood","#8F7748","9402184"
"endermanoverhaul:tiny_skull","#000000","0"
"exposure:flash","#000000","0"
"exposure:lightroom","#664C33","6704179"
"galosphere:allurite_block","#4C7F99","5013401"
"galosphere:allurite_brick_slab","#4C7F99","5013401"
"galosphere:allurite_brick_stairs","#7F3FB2","8339378"
"galosphere:allurite_bricks","#4C7F99","5013401"
"galosphere:allurite_cluster","#000000","0"
"galosphere:allurite_lamp","#6699D8","6724056"
"galosphere:allurite_slab","#4C7F99","5013401"
"galosphere:allurite_stairs","#4C7F99","5013401"
"galosphere:amethyst_brick_slab","#7F3FB2","8339378"
"galosphere:amethyst_brick_stairs","#7F3FB2","8339378"
"galosphere:amethyst_bricks","#7F3FB2","8339378"
"galosphere:amethyst_lamp","#7F3FB2","8339378"
"galosphere:amethyst_slab","#7F3FB2","8339378"
"galosphere:amethyst_stairs","#7F3FB2","8339378"
"galosphere:bowl_lichen","#575C5C","5725276"
"galosphere:chandelier","#000000","0"
"galosphere:charged_lumiere_block","#E5E533","15066419"
"galosphere:chiseled_allurite","#4C7F99","5013401"
"galosphere:chiseled_amethyst","#7F3FB2","8339378"
"galosphere:chiseled_lumiere","#E5E533","15066419"
"galosphere:chiseled_pastel_pink_salt","#000000","0"
"galosphere:chiseled_pink_salt","#000000","0"
"galosphere:chiseled_rose_pink_salt","#000000","0"
"galosphere:combustion_table","#000000","0"
"galosphere:cured_membrane_block","#999999","10066329"
"galosphere:deepslate_silver_ore","#646464","6579300"
"galosphere:gilded_beads","#FAEE4D","16445005"
"galosphere:glinted_allurite_cluster","#000000","0"
"galosphere:glinted_amethyst_cluster","#000000","0"
"galosphere:glinted_lumiere_cluster","#000000","0"
"galosphere:glow_berries_silver_lattice","#4C7F99","5013401"
"galosphere:glow_ink_clumps","#6699D8","6724056"
"galosphere:lichen_cordyceps","#575C5C","5725276"
"galosphere:lichen_cordyceps_plant","#575C5C","5725276"
"galosphere:lichen_moss","#4C7F99","5013401"
"galosphere:lichen_roots","#575C5C","5725276"
"galosphere:lichen_shelf","#F27FA5","15892389"
"galosphere:lumiere_block","#E5E533","15066419"
"galosphere:lumiere_brick_slab","#E5E533","15066419"
"galosphere:lumiere_brick_stairs","#7F3FB2","8339378"
"galosphere:lumiere_bricks","#E5E533","15066419"
"galosphere:lumiere_cluster","#000000","0"
"galosphere:lumiere_composter","#8F7748","9402184"
"galosphere:lumiere_lamp","#E5E533","15066419"
"galosphere:lumiere_slab","#E5E533","15066419"
"galosphere:lumiere_stairs","#E5E533","15066419"
"galosphere:monstrometer","#4C7F99","5013401"
"galosphere:pastel_pink_salt","#000000","0"
"galosphere:pastel_pink_salt_brick_slab","#000000","0"
"galosphere:pastel_pink_salt_brick_stairs","#000000","0"
"galosphere:pastel_pink_salt_brick_wall","#000000","0"
"galosphere:pastel_pink_salt_bricks","#000000","0"
"galosphere:pastel_pink_salt_slab","#000000","0"
"galosphere:pastel_pink_salt_stairs","#000000","0"
"galosphere:pastel_pink_salt_wall","#000000","0"
"galosphere:pink_salt","#000000","0"
"galosphere:pink_salt_brick_slab","#000000","0"
"galosphere:pink_salt_brick_stairs","#000000","0"
"galosphere:pink_salt_brick_wall","#000000","0"
"galosphere:pink_salt_bricks","#000000","0"
"galosphere:pink_salt_chamber","#000000","0"
"galosphere:pink_salt_cluster","#000000","0"
"galosphere:pink_salt_lamp","#000000","0"
"galosphere:pink_salt_slab","#000000","0"
"galosphere:pink_salt_stairs","#000000","0"
"galosphere:pink_salt_straw","#000000","0"
"galosphere:pink_salt_wall","#000000","0"
"galosphere:polished_pastel_pink_salt","#000000","0"
"galosphere:polished_pastel_pink_salt_slab","#000000","0"
"galosphere:polished_pastel_pink_salt_stairs","#000000","0"
"galosphere:polished_pastel_pink_salt_wall","#000000","0"
"galosphere:polished_pink_salt","#000000","0"
"galosphere:polished_pink_salt_slab","#000000","0"
"galosphere:polished_pink_salt_stairs","#000000","0"
"galosphere:polished_pink_salt_wall","#000000","0"
"galosphere:polished_rose_pink_salt","#000000","0"
"galosphere:polished_rose_pink_salt_slab","#000000","0"
"galosphere:polished_rose_pink_salt_stairs","#000000","0"
"galosphere:polished_rose_pink_salt_wall","#000000","0"
"galosphere:potted_bowl_lichen","#000000","0"
"galosphere:potted_lichen_roots","#000000","0"
"galosphere:raw_silver_block","#4C7F99","5013401"
"galosphere:rose_pink_salt","#000000","0"
"galosphere:rose_pink_salt_brick_slab","#000000","0"
"galosphere:rose_pink_salt_brick_stairs","#000000","0"
"galosphere:rose_pink_salt_brick_wall","#000000","0"
"galosphere:rose_pink_salt_bricks","#000000","0"
"galosphere:rose_pink_salt_slab","#000000","0"
"galosphere:rose_pink_salt_stairs","#000000","0"
"galosphere:rose_pink_salt_wall","#000000","0"
"galosphere:saline_composter","#8F7748","9402184"
"galosphere:shadow_frame","#392923","3746083"
"galosphere:silver_balance","#4C7F99","5013401"
"galosphere:silver_block","#4C7F99","5013401"
"galosphere:silver_lattice","#4C7F99","5013401"
"galosphere:silver_ore","#707070","7368816"
"galosphere:silver_panel","#4C7F99","5013401"
"galosphere:silver_panel_slab","#4C7F99","5013401"
"galosphere:silver_panel_stairs","#4C7F99","5013401"
"galosphere:silver_tiles","#4C7F99","5013401"
"galosphere:silver_tiles_slab","#4C7F99","5013401"
"galosphere:silver_tiles_stairs","#4C7F99","5013401"
"galosphere:smooth_allurite","#4C7F99","5013401"
"galosphere:smooth_allurite_slab","#4C7F99","5013401"
"galosphere:smooth_allurite_stairs","#7F3FB2","8339378"
"galosphere:smooth_amethyst","#7F3FB2","8339378"
"galosphere:smooth_amethyst_slab","#7F3FB2","8339378"
"galosphere:smooth_amethyst_stairs","#7F3FB2","8339378"
"galosphere:smooth_lumiere","#E5E533","15066419"
"galosphere:smooth_lumiere_slab","#E5E533","15066419"
"galosphere:smooth_lumiere_stairs","#7F3FB2","8339378"
"galosphere:stranded_membrane_block","#4C7F99","5013401"
"galosphere:warped_anchor","#4C7F99","5013401"
"hybrid-aquatic:acacia_crate","#D87F33","14188339"
"hybrid-aquatic:anemone","#562C3E","5647422"
"hybrid-aquatic:basking_shark_plushie","#000000","0"
"hybrid-aquatic:birch_crate","#F7E9A3","16247203"
"hybrid-aquatic:bull_shark_plushie","#000000","0"
"hybrid-aquatic:buoy","#8F7748","9402184"
"hybrid-aquatic:button_coral","#993333","10040115"
"hybrid-aquatic:button_coral_block","#7F3FB2","8339378"
"hybrid-aquatic:button_coral_fan","#993333","10040115"
"hybrid-aquatic:button_coral_wall_fan","#993333","10040115"
"hybrid-aquatic:cherry_crate","#D1B1A1","13742497"
"hybrid-aquatic:crab_pot","#8F7748","9402184"
"hybrid-aquatic:dark_oak_crate","#664C33","6704179"
"hybrid-aquatic:dead_button_coral","#4C4C4C","5000268"
"hybrid-aquatic:dead_button_coral_block","#FFFCF5","16776437"
"hybrid-aquatic:dead_button_coral_fan","#4C4C4C","5000268"
"hybrid-aquatic:dead_button_coral_wall_fan","#4C4C4C","5000268"
"hybrid-aquatic:dead_lophelia_coral","#4C4C4C","5000268"
"hybrid-aquatic:dead_lophelia_coral_block","#FFFCF5","16776437"
"hybrid-aquatic:dead_lophelia_coral_fan","#4C4C4C","5000268"
"hybrid-aquatic:dead_lophelia_coral_wall_fan","#4C4C4C","5000268"
"hybrid-aquatic:dead_sun_coral","#4C4C4C","5000268"
"hybrid-aquatic:dead_sun_coral_block","#FFFCF5","16776437"
"hybrid-aquatic:dead_sun_coral_fan","#4C4C4C","5000268"
"hybrid-aquatic:dead_sun_coral_wall_fan","#4C4C4C","5000268"
"hybrid-aquatic:dead_thorn_coral","#4C4C4C","5000268"
"hybrid-aquatic:dead_thorn_coral_block","#FFFCF5","16776437"
"hybrid-aquatic:dead_thorn_coral_fan","#4C4C4C","5000268"
"hybrid-aquatic:dead_thorn_coral_wall_fan","#4C4C4C","5000268"
"hybrid-aquatic:driftwood_button","#000000","0"
"hybrid-aquatic:driftwood_door","#8F7748","9402184"
"hybrid-aquatic:driftwood_fence","#8F7748","9402184"
"hybrid-aquatic:driftwood_fence_gate","#8F7748","9402184"
"hybrid-aquatic:driftwood_log","#8F7748","9402184"
"hybrid-aquatic:driftwood_planks","#8F7748","9402184"
"hybrid-aquatic:driftwood_pressure_plate","#8F7748","9402184"
"hybrid-aquatic:driftwood_slab","#8F7748","9402184"
"hybrid-aquatic:driftwood_stairs","#8F7748","9402184"
"hybrid-aquatic:driftwood_trapdoor","#8F7748","9402184"
"hybrid-aquatic:driftwood_wood","#8F7748","9402184"
"hybrid-aquatic:floating_sargassum","#8F7748","9402184"
"hybrid-aquatic:frilled_shark_plushie","#000000","0"
"hybrid-aquatic:giant_clam","#392923","3746083"
"hybrid-aquatic:glowing_plankton","#007C00","31744"
"hybrid-aquatic:glowstick","#000000","0"
"hybrid-aquatic:great_white_shark_plushie","#000000","0"
"hybrid-aquatic:hammerhead_shark_plushie","#000000","0"
"hybrid-aquatic:hybrid_crate","#8F7748","9402184"
"hybrid-aquatic:hydrothermal_vent_shaft","#392923","3746083"
"hybrid-aquatic:jungle_crate","#976D4D","9923917"
"hybrid-aquatic:jungle_lily_pad","#007C00","31744"
"hybrid-aquatic:lophelia_coral","#993333","10040115"
"hybrid-aquatic:lophelia_coral_block","#FFFCF5","16776437"
"hybrid-aquatic:lophelia_coral_fan","#993333","10040115"
"hybrid-aquatic:lophelia_coral_wall_fan","#993333","10040115"
"hybrid-aquatic:mangrove_crate","#993333","10040115"
"hybrid-aquatic:message_in_a_bottle","#000000","0"
"hybrid-aquatic:oak_crate","#8F7748","9402184"
"hybrid-aquatic:raft","#8F7748","9402184"
"hybrid-aquatic:red_algae","#4040FF","4210943"
"hybrid-aquatic:sargassum","#4040FF","4210943"
"hybrid-aquatic:sargassum_plant","#4040FF","4210943"
"hybrid-aquatic:sea_lettuce","#4040FF","4210943"
"hybrid-aquatic:spruce_crate","#815631","8476209"
"hybrid-aquatic:strawberry_anemone","#700200","7340544"
"hybrid-aquatic:stripped_driftwood_log","#8F7748","9402184"
"hybrid-aquatic:stripped_driftwood_wood","#8F7748","9402184"
"hybrid-aquatic:sun_coral","#993333","10040115"
"hybrid-aquatic:sun_coral_block","#7F3FB2","8339378"
"hybrid-aquatic:sun_coral_fan","#993333","10040115"
"hybrid-aquatic:sun_coral_wall_fan","#993333","10040115"
"hybrid-aquatic:tall_red_algae","#4040FF","4210943"
"hybrid-aquatic:tall_sea_lettuce","#4040FF","4210943"
"hybrid-aquatic:thorn_coral","#993333","10040115"
"hybrid-aquatic:thorn_coral_block","#191919","1644825"
"hybrid-aquatic:thorn_coral_fan","#993333","10040115"
"hybrid-aquatic:thorn_coral_wall_fan","#993333","10040115"
"hybrid-aquatic:thresher_shark_plushie","#000000","0"
"hybrid-aquatic:tiger_shark_plushie","#000000","0"
"hybrid-aquatic:tube_sponge","#E5E533","15066419"
"hybrid-aquatic:tube_worm","#667F33","6717235"
"hybrid-aquatic:wall_glowstick","#000000","0"
"hybrid-aquatic:water_lettuce","#007C00","31744"
"hybrid-aquatic:whale_shark_plushie","#000000","0"
"minecraft:acacia_button","#000000","0"
"minecraft:acacia_door","#D87F33","14188339"
"minecraft:acacia_fence","#D87F33","14188339"
"minecraft:acacia_fence_gate","#D87F33","14188339"
"minecraft:acacia_hanging_sign","#D87F33","14188339"
"minecraft:acacia_leaves","#007C00","31744"
"minecraft:acacia_log","#D87F33","14188339"
"minecraft:acacia_planks","#D87F33","14188339"
"minecraft:acacia_pressure_plate","#D87F33","14188339"
"minecraft:acacia_sapling","#007C00","31744"
"minecraft:acacia_sign","#D87F33","14188339"
"minecraft:acacia_slab","#D87F33","14188339"
"minecraft:acacia_stairs","#D87F33","14188339"
"minecraft:acacia_trapdoor","#D87F33","14188339"
"minecraft:acacia_wall_hanging_sign","#D87F33","14188339"
"minecraft:acacia_wall_sign","#D87F33","14188339"
"minecraft:acacia_wood","#4C4C4C","5000268"
"minecraft:activator_rail","#000000","0"
"minecraft:air","#000000","0"
"minecraft:allium","#007C00","31744"
"minecraft:amethyst_block","#7F3FB2","8339378"
"minecraft:amethyst_cluster","#7F3FB2","8339378"
"minecraft:ancient_debris","#191919","1644825"
"minecraft:andesite","#707070","7368816"
"minecraft:andesite_slab","#707070","7368816"
"minecraft:andesite_stairs","#707070","7368816"
"minecraft:andesite_wall","#707070","7368816"
"minecraft:anvil","#A7A7A7","10987431"
"minecraft:attached_melon_stem","#007C00","31744"
"minecraft:attached_pumpkin_stem","#007C00","31744"
"minecraft:azalea","#007C00","31744"
"minecraft:azalea_leaves","#007C00","31744"
"minecraft:azure_bluet","#007C00","31744"
"minecraft:bamboo","#007C00","31744"
"minecraft:bamboo_block","#E5E533","15066419"
"minecraft:bamboo_button","#000000","0"
"minecraft:bamboo_door","#E5E533","15066419"
"minecraft:bamboo_fence","#E5E533","15066419"
"minecraft:bamboo_fence_gate","#E5E533","15066419"
"minecraft:bamboo_hanging_sign","#E5E533","15066419"
"minecraft:bamboo_mosaic","#E5E533","15066419"
"minecraft:bamboo_mosaic_slab","#E5E533","15066419"
"minecraft:bamboo_mosaic_stairs","#E5E533","15066419"
"minecraft:bamboo_planks","#E5E533","15066419"
"minecraft:bamboo_pressure_plate","#E5E533","15066419"
"minecraft:bamboo_sapling","#8F7748","9402184"
"minecraft:bamboo_sign","#E5E533","15066419"
"minecraft:bamboo_slab","#E5E533","15066419"
"minecraft:bamboo_stairs","#E5E533","15066419"
"minecraft:bamboo_trapdoor","#E5E533","15066419"
"minecraft:bamboo_wall_hanging_sign","#E5E533","15066419"
"minecraft:bamboo_wall_sign","#E5E533","15066419"
"minecraft:barrel","#8F7748","9402184"
"minecraft:barrier","#000000","0"
"minecraft:basalt","#191919","1644825"
"minecraft:beacon","#5CDBD5","6085589"
"minecraft:bedrock","#707070","7368816"
"minecraft:bee_nest","#E5E533","15066419"
"minecraft:beehive","#8F7748","9402184"
"minecraft:beetroots","#007C00","31744"
"minecraft:bell","#FAEE4D","16445005"
"minecraft:big_dripleaf","#007C00","31744"
"minecraft:big_dripleaf_stem","#007C00","31744"
"minecraft:birch_button","#000000","0"
"minecraft:birch_door","#F7E9A3","16247203"
"minecraft:birch_fence","#F7E9A3","16247203"
"minecraft:birch_fence_gate","#F7E9A3","16247203"
"minecraft:birch_hanging_sign","#F7E9A3","16247203"
"minecraft:birch_leaves","#007C00","31744"
"minecraft:birch_log","#F7E9A3","16247203"
"minecraft:birch_planks","#F7E9A3","16247203"
"minecraft:birch_pressure_plate","#F7E9A3","16247203"
"minecraft:birch_sapling","#007C00","31744"
"minecraft:birch_sign","#F7E9A3","16247203"
"minecraft:birch_slab","#F7E9A3","16247203"
"minecraft:birch_stairs","#F7E9A3","16247203"
"minecraft:birch_trapdoor","#F7E9A3","16247203"
"minecraft:birch_wall_hanging_sign","#F7E9A3","16247203"
"minecraft:birch_wall_sign","#F7E9A3","16247203"
"minecraft:birch_wood","#F7E9A3","16247203"
"minecraft:black_banner","#8F7748","9402184"
"minecraft:black_bed","#191919","1644825"
"minecraft:black_candle","#191919","1644825"
"minecraft:black_candle_cake","#000000","0"
"minecraft:black_carpet","#191919","1644825"
"minecraft:black_concrete","#191919","1644825"
"minecraft:black_concrete_powder","#191919","1644825"
"minecraft:black_glazed_terracotta","#191919","1644825"
"minecraft:black_shulker_box","#191919","1644825"
"minecraft:black_stained_glass","#191919","1644825"
"minecraft:black_stained_glass_pane","#000000","0"
"minecraft:black_terracotta","#251610","2430480"
"minecraft:black_wall_banner","#8F7748","9402184"
"minecraft:black_wool","#191919","1644825"
"minecraft:blackstone","#191919","1644825"
"minecraft:blackstone_slab","#191919","1644825"
"minecraft:blackstone_stairs","#191919","1644825"
"minecraft:blackstone_wall","#191919","1644825"
"minecraft:blast_furnace","#707070","7368816"
"minecraft:blue_banner","#8F7748","9402184"
"minecraft:blue_bed","#334CB2","3361970"
"minecraft:blue_candle","#334CB2","3361970"
"minecraft:blue_candle_cake","#000000","0"
"minecraft:blue_carpet","#334CB2","3361970"
"minecraft:blue_concrete","#334CB2","3361970"
"minecraft:blue_concrete_powder","#334CB2","3361970"
"minecraft:blue_glazed_terracotta","#334CB2","3361970"
"minecraft:blue_ice","#A0A0FF","10526975"
"minecraft:blue_orchid","#007C00","31744"
"minecraft:blue_shulker_box","#334CB2","3361970"
"minecraft:blue_stained_glass","#334CB2","3361970"
"minecraft:blue_stained_glass_pane","#000000","0"
"minecraft:blue_terracotta","#4C3E5C","4996700"
"minecraft:blue_wall_banner","#8F7748","9402184"
"minecraft:blue_wool","#334CB2","3361970"
"minecraft:bone_block","#F7E9A3","16247203"
"minecraft:bookshelf","#8F7748","9402184"
"minecraft:brain_coral","#F27FA5","15892389"
"minecraft:brain_coral_block","#F27FA5","15892389"
"minecraft:brain_coral_fan","#F27FA5","15892389"
"minecraft:brain_coral_wall_fan","#F27FA5","15892389"
"minecraft:brewing_stand","#A7A7A7","10987431"
"minecraft:brick_slab","#993333","10040115"
"minecraft:brick_stairs","#993333","10040115"
"minecraft:brick_wall","#993333","10040115"
"minecraft:bricks","#993333","10040115"
"minecraft:brown_banner","#8F7748","9402184"
"minecraft:brown_bed","#664C33","6704179"
"minecraft:brown_candle","#664C33","6704179"
"minecraft:brown_candle_cake","#000000","0"
"minecraft:brown_carpet","#664C33","6704179"
"minecraft:brown_concrete","#664C33","6704179"
"minecraft:brown_concrete_powder","#664C33","6704179"
"minecraft:brown_glazed_terracotta","#664C33","6704179"
"minecraft:brown_mushroom","#664C33","6704179"
"minecraft:brown_mushroom_block","#976D4D","9923917"
"minecraft:brown_shulker_box","#664C33","6704179"
"minecraft:brown_stained_glass","#664C33","6704179"
"minecraft:brown_stained_glass_pane","#000000","0"
"minecraft:brown_terracotta","#4C3223","4993571"
"minecraft:brown_wall_banner","#8F7748","9402184"
"minecraft:brown_wool","#664C33","6704179"
"minecraft:bubble_column","#4040FF","4210943"
"minecraft:bubble_coral","#7F3FB2","8339378"
"minecraft:bubble_coral_block","#7F3FB2","8339378"
"minecraft:bubble_coral_fan","#7F3FB2","8339378"
"minecraft:bubble_coral_wall_fan","#7F3FB2","8339378"
"minecraft:budding_amethyst","#7F3FB2","8339378"
"minecraft:cactus","#007C00","31744"
"minecraft:cake","#000000","0"
"minecraft:calcite","#D1B1A1","13742497"
"minecraft:calibrated_sculk_sensor","#4C7F99","5013401"
"minecraft:campfire","#815631","8476209"
"minecraft:candle","#F7E9A3","16247203"
"minecraft:candle_cake","#000000","0"
"minecraft:carrots","#007C00","31744"
"minecraft:cartography_table","#8F7748","9402184"
"minecraft:carved_pumpkin","#D87F33","14188339"
"minecraft:cauldron","#707070","7368816"
"minecraft:cave_air","#000000","0"
"minecraft:cave_vines","#007C00","31744"
"minecraft:cave_vines_plant","#007C00","31744"
"minecraft:chain","#000000","0"
"minecraft:chain_command_block","#667F33","6717235"
"minecraft:cherry_button","#000000","0"
"minecraft:cherry_door","#D1B1A1","13742497"
"minecraft:cherry_fence","#D1B1A1","13742497"
"minecraft:cherry_fence_gate","#D1B1A1","13742497"
"minecraft:cherry_hanging_sign","#A04D4E","10505550"
"minecraft:cherry_leaves","#F27FA5","15892389"
"minecraft:cherry_log","#D1B1A1","13742497"
"minecraft:cherry_planks","#D1B1A1","13742497"
