"ID","Registry name","Tags"
10,"spectrum:crystal_gardens","minecraft:spawns_white_rabbits, minecraft:spawns_snow_foxes, spectrum:in_deeper_down, spectrum:has_structure/excavation_site, minecraft:without_zombie_sieges, spectrum:has_structure/undergrowth_manor, minecraft:without_patrol_spawns, minecraft:allows_tropical_fish_spawns_at_any_height, minecraft:without_wandering_trader_spawns, minecraft:increased_fire_burnout"
11,"minecraft:dark_forest","naturalist:has_finch, spectral_seas:no_amethyst, mostructures:has_structure/villager_tower, formationsoverworld:has_structure/meteor, endermanoverhaul:dark_oak_spawns, nova_structures:collections/any_forests, betterstrongholds:has_structure/better_stronghold, mostructures:has_structure/tavern, naturalist:has_snake, wabi_sabi_structures:has_structure/bat_monolith, naturalist:has_cardinal, philipsruins:has_structure/ancient_dungeon_biomes, formationsoverworld:has_structure/small_house, nova_structures:collections/overworld, formationsoverworld:has_structure/stone_tower, supplementaries:has_way_signs, philipsruins:has_structure/ancient_ruins_biomes, c:is_tree/deciduous, endermanoverhaul:cave_spawns, philipsruins:has_structure/bone_dungeon_biomes, c:forest, philipsruins:has_structure/level_two_ruins_biomes, c:is_dense_vegetation, totw_reworked:has_structure/regular_tower, nova_structures:collections/illager_camps, supplementaries:has_cave_urns, philipsruins:has_structure/ancient_towers_biomes, forsaken:has_structure/wells/pit/cobble, c:is_overworld, nova_structures:collections/spooky_forests, minecraft:has_structure/stronghold, minecraft:has_structure/portal_deepslate, c:tree_deciduous, wabi_sabi_structures:has_structure/water_tower_dark_oak, c:is_dense/overworld, minecraft:has_structure/mineshaft, naturalist:has_lizard, spectrum:has_structure/pedestal_ruins, formationsoverworld:has_structure/tower_remnant, nova_structures:collection/stronghold_related_ruins_biomes, mostructures:has_structure/killer_bunny_castle, c:is_dense, wabi_sabi_structures:has_structure/rot_tree, formationsoverworld:has_structure/offering, minecraft:stronghold_biased_to, c:is_forest, naturalist:has_deer, nova_structures:has_structure/ruin_town, naturalist:has_bear, c:is_temperate, spectrum:has_structure/preservation_ruins, philipsruins:has_structure/lost_soul_city_biomes, minecraft:is_overworld, philipsruins:has_structure/field_stone_ruins_rocks_biomes, supplementaries:has_wild_flax, formationsoverworld:has_structure/small_statue, c:in_overworld, wabi_sabi_structures:has_structure/effigy_patch_forest, naturalist:has_boar, mostructures:collections/any_forests, mvs:has_structure/large_warped_tower, forsaken:has_structure/homes/bricks, formationsoverworld:has_structure/witch_tower, creeperoverhaul:is_darkforest, nova_structures:collections/stronghold_related_ruins_biomes, mvs:has_structure/dark_oak_biomes, spectrum:colored_trees_generating_in, minecraft:has_structure/woodland_mansion, formationsoverworld:has_structure/copper_spire, endermanoverhaul:all_spawns, wabi_sabi_structures:has_structure/monster_egg, forsaken:has_structure/wells/pump/cobble, minecraft:is_forest, naturalist:has_snail, philipsruins:has_structure/start_nether_ruin_biomes, rottencreatures:can_undead_miner_spawn_on, wabi_sabi_structures:has_structure/dark_witch_keep, formationsoverworld:has_structure/stone_ore_spikes, c:is_temperate/overworld, formationsoverworld:has_structure/campsite, formationsoverworld:has_structure/log_shelter, c:is_dense_vegetation/overworld, formationsoverworld:has_structure/hobbit_hole, formationsoverworld:has_structure/log_spikes, mostructures:has_structure/villager_market, formationsoverworld:has_structure/well, c:climate_temperate, nova_structures:illager_hideout, forsaken:has_structure/wells/rustic/dark_oak, mostructures:collections/spooky_forests, wabi_sabi_structures:has_structure/wandering_trader_cart_temperate, c:is_spooky, formationsoverworld:has_structure/graveyard, naturalist:has_robin, philipsruins:has_structure/pumpkin_ruins_biomes, formationsoverworld:has_structure/tiny_house"
12,"spectrum:deep_barrens","spectrum:has_structure/lizard_den_blackslag, spectrum:has_structure/excavation_site, minecraft:without_patrol_spawns, spectrum:has_structure/forsaken_cathedral, minecraft:without_wandering_trader_spawns, minecraft:without_zombie_sieges, spectrum:in_deeper_down, spectrum:has_structure/city_below"
13,"minecraft:deep_cold_ocean","philipsruins:has_structure/ancient_dungeon_biomes, mostructures:collections/oceans, formationsoverworld:has_structure/raft, minecraft:has_structure/ocean_monument, wabi_sabi_structures:has_structure/marine_observation_hub, c:deep_ocean, c:in_overworld, c:is_ocean, supplementaries:has_cave_urns, hybrid-aquatic:cold_oceans, c:ocean, c:is_cold, minecraft:has_structure/mineshaft, supplementaries:has_wild_flax, minecraft:has_structure/ocean_ruin_cold, frycmobvariants:corsair_spawn_biomes, c:is_aquatic, unseaworthy:sinks_boats, nova_structures:collections/deep_oceans, nova_structures:collections/oceans, minecraft:is_overworld, hybrid-aquatic:deep_cold_oceans, spectrum:has_structure/preservation_ruins, minecraft:is_deep_ocean, zhopo:has_structure/underwater_fossils, betteroceanmonuments:has_structure/better_ocean_monument, c:is_cold/overworld, mostructures:is_deep_ocean, rottencreatures:can_undead_miner_spawn_on, wabi_sabi_structures:has_structure/bat_monolith, wabi_sabi_structures:has_structure/monster_egg, towns_and_towers:has_structure/pillager_outpost_deep_oceans, c:is_water, c:is_wet/overworld, nova_structures:collections/overworld, c:is_wet, philipsruins:has_structure/ocean_ruins_biomes, spectrum:has_structure/pedestal_ruins, supplementaries:has_way_signs, zhopo:has_structure/underwater_small_ruins, c:is_overworld, c:is_deep_ocean, towns_and_towers:has_structure/village_deep_oceans_ships, c:climate_wet, c:aquatic, minecraft:is_ocean, minecraft:plays_underwater_music, minecraft:required_ocean_monument_surrounding, spectrum:mermaids_brushes_generating_in, minecraft:water_on_map_outlines, mostructures:has_structure/pirate_ship"
14,"minecraft:deep_dark","c:caves, naturalist:has_snail, c:is_underground, c:is_spooky, nova_structures:collections/caves, hybrid-aquatic:caves, minecraft:has_structure/ancient_city, minecraft:spawns_cold_variant_frogs, rottencreatures:can_undead_miner_spawn_on, supplementaries:has_way_signs, minecraft:mineshaft_blocking, c:is_cave, philipsruins:has_structure/ancient_dungeon_biomes, wabi_sabi_structures:has_structure/forgotten_remnants, philipsruins:has_structure/lost_soul_dungeon_biomes, philipsruins:has_structure/bone_dungeon_biomes, minecraft:is_overworld, c:underground, supplementaries:has_cave_urns, spectrum:has_structure/preservation_ruins, c:no_default_monsters, frycmobvariants:underground_biomes, philipsruins:has_structure/sculk_dungeon_biomes, supplementaries:has_wild_flax, minecraft:has_structure/stronghold, nova_structures:collections/overworld, c:is_rare, c:in_overworld, c:is_overworld, philipsruins:has_structure/lost_soul_city_biomes, spectral_seas:no_amethyst"
15,"spectrum:deep_dripstone_caves","spectrum:has_structure/lizard_den_basal_marble, spectrum:has_structure/city_below, minecraft:increased_fire_burnout, spectrum:has_structure/excavation_site, spectrum:has_structure/lizard_den_dripstone, spectrum:has_permanent_rain"
16,"minecraft:deep_frozen_ocean","c:ocean, nova_structures:collections/deep_oceans, rottencreatures:can_undead_miner_spawn_on, c:is_ocean, c:is_wet, spectrum:mermaids_brushes_generating_in, minecraft:required_ocean_monument_surrounding, hybrid-aquatic:deep_arctic_oceans, spectrum:has_structure/pedestal_ruins, c:is_deep_ocean, c:is_cold/overworld, c:is_water, c:is_wet/overworld, minecraft:spawns_cold_variant_frogs, c:climate_wet, supplementaries:has_cave_urns, wabi_sabi_structures:has_structure/bat_monolith, supplementaries:has_wild_flax, c:is_overworld, supplementaries:has_way_signs, c:in_overworld, minecraft:polar_bears_spawn_on_alternate_blocks, minecraft:has_structure/mineshaft, formationsoverworld:has_structure/raft, zhopo:has_structure/underwater_fossils, nova_structures:collections/overworld, c:deep_ocean, minecraft:is_ocean, c:is_cold, c:aquatic_icy, minecraft:has_structure/ocean_ruin_cold, hybrid-aquatic:arctic_oceans, wabi_sabi_structures:has_structure/monster_egg, minecraft:has_structure/ocean_monument, c:is_aquatic_icy, unseaworthy:sinks_boats, mostructures:collections/oceans, nova_structures:collections/oceans, spectrum:has_structure/preservation_ruins, zhopo:has_structure/underwater_small_ruins, minecraft:water_on_map_outlines, minecraft:is_deep_ocean, frycmobvariants:corsair_spawn_biomes, philipsruins:has_structure/ocean_ruins_biomes, betteroceanmonuments:has_structure/better_ocean_monument, c:is_aquatic, philipsruins:has_structure/ancient_dungeon_biomes, c:aquatic, minecraft:is_overworld, minecraft:plays_underwater_music"
17,"minecraft:deep_lukewarm_ocean","c:is_ocean, nova_structures:collections/overworld, nova_structures:collections/oceans, c:is_deep_ocean, c:ocean, c:climate_wet, minecraft:is_ocean, c:is_wet, mostructures:has_structure/pirate_ship, spectrum:has_structure/preservation_ruins, minecraft:is_deep_ocean, betteroceanmonuments:has_structure/better_ocean_monument, frycmobvariants:corsair_spawn_biomes, c:is_wet/overworld, zhopo:has_structure/underwater_warm_small_ruins, nova_structures:collections/deep_oceans, hybrid-aquatic:deep_tropical_oceans, c:is_overworld, c:is_aquatic, philipsruins:has_structure/ancient_dungeon_biomes, supplementaries:has_wild_flax, spectrum:mermaids_brushes_generating_in, mostructures:is_deep_ocean, c:in_overworld, minecraft:is_overworld, towns_and_towers:has_structure/village_deep_oceans_ships, wabi_sabi_structures:has_structure/monster_egg, wabi_sabi_structures:has_structure/bat_monolith, minecraft:has_structure/ocean_ruin_warm, supplementaries:has_cave_urns, minecraft:has_structure/mineshaft, towns_and_towers:has_structure/pillager_outpost_deep_oceans, minecraft:plays_underwater_music, spectrum:has_structure/pedestal_ruins, minecraft:water_on_map_outlines, minecraft:has_structure/ocean_monument, philipsruins:has_structure/ocean_ruins_biomes, minecraft:required_ocean_monument_surrounding, hybrid-aquatic:tropical_oceans, rottencreatures:can_undead_miner_spawn_on, c:aquatic, mostructures:collections/oceans, zhopo:has_structure/underwater_fossils, unseaworthy:sinks_boats, supplementaries:has_way_signs, zhopo:has_structure/underwater_city, c:is_water, c:deep_ocean, formationsoverworld:has_structure/raft"
18,"minecraft:deep_ocean","minecraft:plays_underwater_music, c:ocean, rottencreatures:can_undead_miner_spawn_on, nova_structures:collections/deep_oceans, c:is_wet, c:is_ocean, mostructures:has_structure/pirate_ship, spectrum:mermaids_brushes_generating_in, minecraft:required_ocean_monument_surrounding, spectrum:has_structure/pedestal_ruins, towns_and_towers:has_structure/village_deep_oceans_ships, c:is_deep_ocean, c:is_water, c:is_wet/overworld, c:climate_wet, supplementaries:has_cave_urns, wabi_sabi_structures:has_structure/bat_monolith, supplementaries:has_wild_flax, mvs:has_structure/ocean_biomes, hybrid-aquatic:deep_temperate_oceans, hybrid-aquatic:temperate_oceans, supplementaries:has_way_signs, c:in_overworld, c:is_overworld, minecraft:has_structure/mineshaft, formationsoverworld:has_structure/raft, zhopo:has_structure/underwater_fossils, nova_structures:collections/overworld, c:deep_ocean, minecraft:is_ocean, zhopo:has_structure/underwater_city, wabi_sabi_structures:has_structure/monster_egg, minecraft:has_structure/ocean_ruin_cold, minecraft:has_structure/ocean_monument, unseaworthy:sinks_boats, mostructures:collections/oceans, nova_structures:collections/oceans, spectrum:has_structure/preservation_ruins, zhopo:has_structure/underwater_small_ruins, minecraft:water_on_map_outlines, minecraft:is_deep_ocean, frycmobvariants:corsair_spawn_biomes, philipsruins:has_structure/ocean_ruins_biomes, betteroceanmonuments:has_structure/better_ocean_monument, towns_and_towers:has_structure/pillager_outpost_deep_oceans, c:is_aquatic, mostructures:is_deep_ocean, philipsruins:has_structure/ancient_dungeon_biomes, minecraft:is_overworld, c:aquatic"
19,"terrablender:deferred_placeholder",""
20,"minecraft:desert","formationsoverworld:has_structure/wagon, c:is_sandy, c:is_dry/overworld, c:is_sparse_vegetation/overworld, c:vegetation_sparse, spectrum:has_structure/pedestal_ruins, naturalist:has_lizard, naturalist:has_vulture, formationsoverworld:has_structure/well, formationsoverworld:has_structure/tower_remnant, minecraft:snow_golem_melts, endermanoverhaul:desert_spawns, formationsoverworld:has_structure/stone_ore_spikes, philipsruins:has_structure/sand_house_biomes, formationsoverworld:has_structure/hobbit_hole, formationsoverworld:has_structure/mesoamerican_temple, c:is_overworld, wabi_sabi_structures:has_structure/bat_monolith, naturalist:has_rattlesnake, supplementaries:has_way_signs, nova_structures:collections/overworld, c:is_sparse_vegetation, forsaken:has_structure/homes/desert, endermanoverhaul:cave_spawns, towns_and_towers:has_structure/pillager_outpost_desert, wabi_sabi_structures:has_structure/monster_egg, formationsoverworld:has_structure/desert_houses, endermanoverhaul:all_spawns, formationsoverworld:has_structure/farmland_field, formationsoverworld:has_structure/small_temple, rottencreatures:can_mummy_spawn_on, c:is_hot/overworld, minecraft:has_structure/village_desert, betterstrongholds:has_structure/better_stronghold, spectral_seas:no_amethyst, spectrum:dragonbone_fossils_generating_in, supplementaries:has_cave_urns, philipsruins:has_structure/desert_structures_biomes, supplementaries:has_wild_flax, wabi_sabi_structures:has_structure/sphinx_hidey_hole_sandy, totw_reworked:has_structure/derelict_tower, formationsoverworld:has_structure/stone_tower, c:is_hot, formationsoverworld:has_structure/large_temple, minecraft:has_structure/mineshaft, rottencreatures:can_undead_miner_spawn_on, c:is_dry, wabi_sabi_structures:has_structure/water_tower_spruce, minecraft:spawns_warm_variant_frogs, formationsoverworld:has_structure/copper_spire, minecraft:has_structure/stronghold, nova_structures:illager_hideout, minecraft:has_structure/desert_pyramid, formationsoverworld:has_structure/small_statue, mvs:has_structure/desert_biomes, c:is_desert, mostructures:collections/deserts, c:desert, spectrum:has_structure/preservation_ruins, totw_reworked:has_structure/regular_tower, c:climate_hot, minecraft:spawns_gold_rabbits, minecraft:stronghold_biased_to, nova_structures:collections/deserts, nova_structures:collections/illager_camps, c:climate_dry, minecraft:has_structure/portal_deepslate, mostructures:has_structure/big_pyramid, naturalist:has_tortoise, mostructures:has_structure/desert_abandoned_church, philipsruins:has_structure/ancient_dungeon_biomes, c:in_overworld, minecraft:is_overworld, wabi_sabi_structures:has_structure/concrete_mill_ruins_desert, naturalist:has_cardinal"
21,"spectrum:dragonrot_swamp","spectrum:in_deeper_down, minecraft:without_wandering_trader_spawns, minecraft:without_zombie_sieges, minecraft:without_patrol_spawns, minecraft:increased_fire_burnout, spectrum:has_structure/forsaken_cathedral, spectrum:has_permanent_rain"
