"Mod name","Registry name","Item ID","Display name","Tags"
"Minecraft","minecraft:allium","minecraft:allium","Allium","naturalist:rhino_charge_breakable, spectrum:deeper_down_feature_replaceables, minecraft:enderman_holdable, minecraft:small_flowers, galosphere:oasis_replace, naturalist:dragonflies_spawnable_on, minecraft:sword_efficient, naturalist:butterflies_spawnable_on, minecraft:flowers, overworldify:everything_but_water"
"Minecraft","minecraft:amethyst_block","minecraft:amethyst_block","Block of Amethyst","spectrum:gemstone_blocks, minecraft:mineable/pickaxe, minecraft:vibration_resonators, spectrum:multitool_mineable, overworldify:everything_but_water, artifacts:mineable/digging_claws, c:storage_blocks, minecraft:crystal_sound_blocks, c:amethyst_blocks"
"Minecraft","minecraft:amethyst_cluster","minecraft:amethyst_cluster","Amethyst Cluster","exposure:chromatic_refractors, minecraft:mineable/pickaxe, overworldify:everything_but_water, artifacts:mineable/digging_claws, spectrum:gemstone_clusters, spectrum:crystal_apothecary_harvestable, c:clusters, spectrum:multitool_mineable"
"Minecraft","minecraft:ancient_debris","minecraft:ancient_debris","Ancient Debris","spectrum:precipitation_source, galosphere:omit_astral, minecraft:mineable/pickaxe, supplementaries:flint_metals, overworldify:everything_but_water, minecraft:needs_diamond_tool, artifacts:mineable/digging_claws, c:netherite_scrap_ores, c:ore_rates/singular, c:ores, galosphere:oasis_replace, spectrum:multitool_mineable"
"Minecraft","minecraft:andesite","minecraft:andesite","Andesite","spectrum:multitool_mineable, galosphere:spectres_spawn_on, minecraft:nether_carver_replaceables, spectrum:downstone_patch_replaceables, minecraft:overworld_carver_replaceables, minecraft:dripstone_replaceable_blocks, galosphere:sparkles_spawn_on, galosphere:oasis_generate_on, minecraft:azalea_root_replaceable, spectrum:deeper_down_carver_replaceables, minecraft:sculk_replaceable_world_gen, minecraft:mineable/pickaxe, minecraft:moss_replaceable, c:stone, minecraft:stone_ore_replaceables, minecraft:lush_ground_replaceable, minecraft:base_stone_overworld, spectrum:aloe_plantable, spectrum:precipitation_source, spellbound:base_overworld_blocks, overworldify:everything_but_water, galosphere:gravel_may_replace, minecraft:sculk_replaceable, endermanoverhaul:cave_enderman_holdable, galosphere:oasis_replace, artifacts:mineable/digging_claws"
"Minecraft","minecraft:andesite_slab","minecraft:andesite_slab","Andesite Slab","spectrum:building_staffs_blacklisted, artifacts:mineable/digging_claws, minecraft:mineable/pickaxe, minecraft:slabs, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:andesite_stairs","minecraft:andesite_stairs","Andesite Stairs","spectrum:multitool_mineable, minecraft:stairs, minecraft:mineable/pickaxe, artifacts:mineable/digging_claws, overworldify:everything_but_water"
"Minecraft","minecraft:andesite_wall","minecraft:andesite_wall","Andesite Wall","supplementaries:walls, artifacts:mineable/digging_claws, minecraft:mineable/pickaxe, minecraft:walls, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:anvil","minecraft:anvil","Anvil","minecraft:mineable/pickaxe, spectrum:multitool_mineable, minecraft:anvil, artifacts:mineable/digging_claws, overworldify:everything_but_water, dynamiccrosshair:always_interactable, dynamiccrosshair:interactable"
"Minecraft","minecraft:attached_melon_stem","","Attached Melon Stem","artifacts:mineable/digging_claws, minecraft:sword_efficient, minecraft:mineable/axe, minecraft:maintains_farmland, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:attached_pumpkin_stem","","Attached Pumpkin Stem","artifacts:mineable/digging_claws, minecraft:sword_efficient, minecraft:mineable/axe, minecraft:maintains_farmland, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:azalea","minecraft:azalea","Azalea","artifacts:mineable/digging_claws, minecraft:saplings, minecraft:mineable/axe, minecraft:sword_efficient, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:azalea_leaves","minecraft:azalea_leaves","Azalea Leaves","supplementaries:map_tint_blacklist, minecraft:leaves, spectrum:multitool_mineable, naturalist:butterflies_spawnable_on, minecraft:replaceable_by_trees, naturalist:vultures_spawnable_on, spectrum:decay/fading_conversions, minecraft:completes_find_tree_tutorial, artifacts:mineable/digging_claws, naturalist:fireflies_spawnable_on, minecraft:parrots_spawnable_on, minecraft:sword_efficient, overworldify:everything_but_water, supplementaries:map_tint_generic, naturalist:vulture_perch_blocks, minecraft:mineable/hoe, supplementaries:hang_from_ropes, minecraft:lava_pool_stone_cannot_replace, naturalist:dragonflies_spawnable_on"
"Minecraft","minecraft:azure_bluet","minecraft:azure_bluet","Azure Bluet","naturalist:rhino_charge_breakable, spectrum:deeper_down_feature_replaceables, minecraft:enderman_holdable, minecraft:small_flowers, galosphere:oasis_replace, naturalist:dragonflies_spawnable_on, minecraft:sword_efficient, naturalist:butterflies_spawnable_on, minecraft:flowers, overworldify:everything_but_water"
"Minecraft","minecraft:bamboo","minecraft:bamboo","Bamboo","overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:bamboo_plantable_on, spectrum:multitool_mineable, spectrum:natures_staff_stackable"
"Minecraft","minecraft:bamboo_block","minecraft:bamboo_block","Block of Bamboo","overworldify:everything_but_water, spectrum:multitool_mineable, artifacts:mineable/digging_claws, minecraft:bamboo_blocks, minecraft:mineable/axe"
"Minecraft","minecraft:bamboo_button","minecraft:bamboo_button","Bamboo Button","dynamiccrosshair:always_interactable, dynamiccrosshair:interactable, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:buttons, spectrum:multitool_mineable, minecraft:wooden_buttons"
"Minecraft","minecraft:bamboo_door","minecraft:bamboo_door","Bamboo Door","minecraft:boulders_cannot_replace, overworldify:everything_but_water, spectrum:multitool_mineable, dynamiccrosshair:always_interactable, minecraft:doors, dynamiccrosshair:interactable, minecraft:wooden_doors, artifacts:mineable/digging_claws, selfish_villager:interactable_property, minecraft:mineable/axe"
"Minecraft","minecraft:bamboo_fence","minecraft:bamboo_fence","Bamboo Fence","minecraft:boulders_cannot_replace, overworldify:everything_but_water, spectrum:multitool_mineable, minecraft:wooden_fences, c:wooden_fences, supplementaries:posts, minecraft:fences, c:fences, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:bamboo_fence_gate","minecraft:bamboo_fence_gate","Bamboo Fence Gate","dynamiccrosshair:always_interactable, minecraft:fence_gates, minecraft:mineable/axe, dynamiccrosshair:interactable, overworldify:everything_but_water, minecraft:unstable_bottom_center, artifacts:mineable/digging_claws, spectrum:multitool_mineable"
"Minecraft","minecraft:bamboo_hanging_sign","minecraft:bamboo_hanging_sign","Bamboo Hanging Sign","minecraft:all_hanging_signs, supplementaries:hang_from_ropes, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:ceiling_hanging_signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:bamboo_mosaic","minecraft:bamboo_mosaic","Bamboo Mosaic","minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, spectrum:multitool_mineable"
"Minecraft","minecraft:bamboo_mosaic_slab","minecraft:bamboo_mosaic_slab","Bamboo Mosaic Slab","spectrum:building_staffs_blacklisted, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:slabs, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:bamboo_mosaic_stairs","minecraft:bamboo_mosaic_stairs","Bamboo Mosaic Stairs","overworldify:everything_but_water, spectrum:multitool_mineable, minecraft:stairs, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:bamboo_planks","minecraft:bamboo_planks","Bamboo Planks","minecraft:planks, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:bamboo_pressure_plate","minecraft:bamboo_pressure_plate","Bamboo Pressure Plate","minecraft:mineable/axe, minecraft:wall_post_override, spectrum:multitool_mineable, minecraft:wooden_pressure_plates, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:pressure_plates"
"Minecraft","minecraft:bamboo_sapling","","Bamboo Shoot","overworldify:everything_but_water, minecraft:bamboo_plantable_on"
"Minecraft","minecraft:bamboo_sign","minecraft:bamboo_sign","Bamboo Sign","minecraft:wall_post_override, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:standing_signs, minecraft:signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:bamboo_slab","minecraft:bamboo_slab","Bamboo Slab","minecraft:slabs, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:wooden_slabs, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, spectrum:building_staffs_blacklisted"
"Minecraft","minecraft:bamboo_stairs","minecraft:bamboo_stairs","Bamboo Stairs","minecraft:mineable/axe, minecraft:stairs, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:wooden_stairs"
"Minecraft","minecraft:bamboo_trapdoor","minecraft:bamboo_trapdoor","Bamboo Trapdoor","dynamiccrosshair:always_interactable, minecraft:mineable/axe, spectrum:multitool_mineable, dynamiccrosshair:interactable, overworldify:everything_but_water, minecraft:wooden_trapdoors, artifacts:mineable/digging_claws, minecraft:trapdoors, minecraft:boulders_cannot_replace"
"Minecraft","minecraft:bamboo_wall_hanging_sign","minecraft:bamboo_hanging_sign","Bamboo Hanging Sign","minecraft:mineable/axe, minecraft:all_signs, spectrum:multitool_mineable, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:all_hanging_signs, minecraft:wall_hanging_signs"
"Minecraft","minecraft:bamboo_wall_sign","minecraft:bamboo_sign","Bamboo Sign","minecraft:wall_post_override, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:wall_signs, minecraft:signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:barrel","minecraft:barrel","Barrel","overworldify:everything_but_water, dynamiccrosshair:always_interactable, c:villager_job_sites, c:wooden_barrels, spectrum:multitool_mineable, minecraft:guarded_by_piglins, minecraft:mineable/axe, artifacts:mineable/digging_claws, selfish_villager:interactable_property, dynamiccrosshair:interactable, c:barrels"
"Minecraft","minecraft:barrier","minecraft:barrier","Barrier","spectrum:decay/failing_safe, spectrum:decay/ruin_safe, overworldify:everything_but_water, spectrum:decay/forfeiture_safe, minecraft:wither_immune, minecraft:snow_layer_cannot_survive_on, minecraft:dragon_immune, yigd:keep_strict_blacklist"
"Minecraft","minecraft:basalt","minecraft:basalt","Basalt","overworldify:everything_but_water, spectrum:precipitation_source, spectrum:multitool_mineable, minecraft:nether_carver_replaceables, spellbound:base_nether_blocks, minecraft:mineable/pickaxe, minecraft:sculk_replaceable_world_gen, artifacts:mineable/digging_claws, minecraft:sculk_replaceable, minecraft:base_stone_nether"
"Minecraft","minecraft:beacon","minecraft:beacon","Beacon","dynamiccrosshair:always_interactable, dynamiccrosshair:interactable, overworldify:everything_but_water, naturalist:moths_attracted_to"
"Minecraft","minecraft:bedrock","minecraft:bedrock","Bedrock","spectrum:decay/forfeiture_conversions, spectrum:decay/failing_safe, minecraft:boulders_cannot_replace, minecraft:lava_pool_stone_cannot_replace, overworldify:everything_but_water, minecraft:infiniburn_end, spectrum:decay/ruin_conversions, minecraft:features_cannot_replace, minecraft:geode_invalid_blocks, supplementaries:frame_block_blacklist, minecraft:wither_immune, yigd:keep_strict_blacklist, minecraft:dragon_immune, galosphere:omit_astral"
"Minecraft","minecraft:bee_nest","minecraft:bee_nest","Bee Nest","overworldify:everything_but_water, minecraft:beehives, spectrum:multitool_mineable, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:beehive","minecraft:beehive","Beehive","spectrum:building_staffs_blacklisted, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:beehives, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:beetroots","minecraft:beetroot_seeds","Beetroot Seeds","minecraft:maintains_farmland, minecraft:bee_growables, minecraft:mineable/axe, minecraft:crops, naturalist:rhino_charge_breakable, spectrum:multitool_mineable, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:sword_efficient"
"Minecraft","minecraft:bell","minecraft:bell","Bell","minecraft:mineable/pickaxe, spectrum:multitool_mineable, artifacts:mineable/digging_claws, overworldify:everything_but_water, supplementaries:rope_support, dynamiccrosshair:always_interactable, dynamiccrosshair:interactable"
"Minecraft","minecraft:big_dripleaf","minecraft:big_dripleaf","Big Dripleaf","artifacts:mineable/digging_claws, minecraft:sword_efficient, minecraft:mineable/axe, minecraft:frog_prefer_jump_to, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:big_dripleaf_stem","minecraft:big_dripleaf","Big Dripleaf","overworldify:everything_but_water, spectrum:multitool_mineable, minecraft:sword_efficient, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:birch_button","minecraft:birch_button","Birch Button","dynamiccrosshair:always_interactable, dynamiccrosshair:interactable, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:buttons, spectrum:multitool_mineable, minecraft:wooden_buttons"
"Minecraft","minecraft:birch_door","minecraft:birch_door","Birch Door","minecraft:boulders_cannot_replace, overworldify:everything_but_water, spectrum:multitool_mineable, dynamiccrosshair:always_interactable, minecraft:doors, dynamiccrosshair:interactable, minecraft:wooden_doors, artifacts:mineable/digging_claws, selfish_villager:interactable_property, minecraft:mineable/axe"
"Minecraft","minecraft:birch_fence","minecraft:birch_fence","Birch Fence","minecraft:boulders_cannot_replace, overworldify:everything_but_water, spectrum:multitool_mineable, minecraft:wooden_fences, c:wooden_fences, supplementaries:posts, minecraft:fences, c:fences, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:birch_fence_gate","minecraft:birch_fence_gate","Birch Fence Gate","overworldify:everything_but_water, minecraft:unstable_bottom_center, spectrum:multitool_mineable, dynamiccrosshair:always_interactable, c:wooden_fence_gates, minecraft:fence_gates, c:fence_gates, dynamiccrosshair:interactable, artifacts:mineable/digging_claws, minecraft:mineable/axe"
"Minecraft","minecraft:birch_hanging_sign","minecraft:birch_hanging_sign","Birch Hanging Sign","minecraft:all_hanging_signs, supplementaries:hang_from_ropes, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:ceiling_hanging_signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:birch_leaves","minecraft:birch_leaves","Birch Leaves","naturalist:butterflies_spawnable_on, naturalist:fireflies_spawnable_on, supplementaries:map_tint_generic, minecraft:replaceable_by_trees, minecraft:mineable/hoe, supplementaries:hang_from_ropes, naturalist:vultures_spawnable_on, spectrum:multitool_mineable, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:completes_find_tree_tutorial, minecraft:sword_efficient, naturalist:vulture_perch_blocks, minecraft:lava_pool_stone_cannot_replace, spectrum:decay/fading_conversions, naturalist:dragonflies_spawnable_on, minecraft:leaves, minecraft:parrots_spawnable_on"
"Minecraft","minecraft:birch_log","minecraft:birch_log","Birch Log","minecraft:parrots_spawnable_on, minecraft:logs_that_burn, spectrum:multitool_mineable, minecraft:completes_find_tree_tutorial, minecraft:boulders_cannot_replace, minecraft:logs, minecraft:snaps_goat_horn, minecraft:overworld_natural_logs, overworldify:everything_but_water, minecraft:birch_logs, minecraft:lava_pool_stone_cannot_replace, minecraft:mineable/axe, artifacts:mineable/digging_claws"
"Minecraft","minecraft:birch_planks","minecraft:birch_planks","Birch Planks","minecraft:planks, artifacts:mineable/digging_claws, minecraft:mineable/axe, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:birch_pressure_plate","minecraft:birch_pressure_plate","Birch Pressure Plate","minecraft:mineable/axe, minecraft:wall_post_override, spectrum:multitool_mineable, minecraft:wooden_pressure_plates, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:pressure_plates"
"Minecraft","minecraft:birch_sapling","minecraft:birch_sapling","Birch Sapling","artifacts:mineable/digging_claws, minecraft:saplings, minecraft:mineable/axe, minecraft:sword_efficient, spectrum:multitool_mineable, overworldify:everything_but_water"
"Minecraft","minecraft:birch_sign","minecraft:birch_sign","Birch Sign","minecraft:wall_post_override, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:standing_signs, minecraft:signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:birch_slab","minecraft:birch_slab","Birch Slab","minecraft:slabs, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:wooden_slabs, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, spectrum:building_staffs_blacklisted"
"Minecraft","minecraft:birch_stairs","minecraft:birch_stairs","Birch Stairs","minecraft:mineable/axe, minecraft:stairs, minecraft:boulders_cannot_replace, spectrum:multitool_mineable, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:wooden_stairs"
"Minecraft","minecraft:birch_trapdoor","minecraft:birch_trapdoor","Birch Trapdoor","dynamiccrosshair:always_interactable, minecraft:mineable/axe, spectrum:multitool_mineable, dynamiccrosshair:interactable, overworldify:everything_but_water, minecraft:wooden_trapdoors, artifacts:mineable/digging_claws, minecraft:trapdoors, minecraft:boulders_cannot_replace"
"Minecraft","minecraft:birch_wall_hanging_sign","minecraft:birch_hanging_sign","Birch Hanging Sign","minecraft:mineable/axe, minecraft:all_signs, spectrum:multitool_mineable, artifacts:mineable/digging_claws, overworldify:everything_but_water, minecraft:all_hanging_signs, minecraft:wall_hanging_signs"
"Minecraft","minecraft:birch_wall_sign","minecraft:birch_sign","Birch Sign","minecraft:wall_post_override, minecraft:mineable/axe, overworldify:everything_but_water, artifacts:mineable/digging_claws, minecraft:wall_signs, minecraft:signs, spectrum:multitool_mineable, minecraft:all_signs"
"Minecraft","minecraft:birch_wood","minecraft:birch_wood","Birch Wood","minecraft:lava_pool_stone_cannot_replace, overworldify:everything_but_water, minecraft:parrots_spawnable_on, spectrum:multitool_mineable, minecraft:birch_logs, minecraft:logs_that_burn, minecraft:boulders_cannot_replace, minecraft:completes_find_tree_tutorial, minecraft:mineable/axe, artifacts:mineable/digging_claws, minecraft:logs"
"Minecraft","minecraft:black_banner","minecraft:black_banner","Black Banner","overworldify:everything_but_water, minecraft:wall_post_override, artifacts:mineable/digging_claws, minecraft:mineable/axe, spectrum:multitool_mineable, minecraft:banners"
"Minecraft","minecraft:black_bed","minecraft:black_bed","Black Bed","minecraft:beds, dynamiccrosshair:interactable, dynamiccrosshair:always_interactable, selfish_villager:interactable_property, overworldify:everything_but_water"
"Minecraft","minecraft:black_candle","minecraft:black_candle","Black Candle","dynamiccrosshair:interactable, overworldify:everything_but_water, minecraft:candles, supplementaries:lightable_by_gunpowder"
"Minecraft","minecraft:black_candle_cake","","Cake with Black Candle","minecraft:candle_cakes, supplementaries:lightable_by_gunpowder, overworldify:everything_but_water"
"Minecraft","minecraft:black_carpet","minecraft:black_carpet","Black Carpet","minecraft:combination_step_sound_blocks, overworldify:everything_but_water, minecraft:dampens_vibrations, minecraft:wool_carpets"
"Minecraft","minecraft:black_concrete","minecraft:black_concrete","Black Concrete","minecraft:mineable/pickaxe, overworldify:everything_but_water, artifacts:mineable/digging_claws, spectrum:multitool_mineable"
"Minecraft","minecraft:black_concrete_powder","minecraft:black_concrete_powder","Black Concrete Powder","spectrum:multitool_mineable, spectrum:decay/black_materia_conversions, artifacts:mineable/digging_claws, minecraft:mineable/shovel, overworldify:everything_but_water"
"Minecraft","minecraft:black_glazed_terracotta","minecraft:black_glazed_terracotta","Black Glazed Terracotta","minecraft:mineable/pickaxe, overworldify:everything_but_water, artifacts:mineable/digging_claws, spectrum:multitool_mineable"
"Minecraft","minecraft:black_shulker_box","minecraft:black_shulker_box","Black Shulker Box","dynamiccrosshair:always_interactable, minecraft:mineable/pickaxe, c:shulker_boxes, minecraft:guarded_by_piglins, minecraft:shulker_boxes, spectrum:multitool_mineable, dynamiccrosshair:interactable, overworldify:everything_but_water, artifacts:mineable/digging_claws"
"Minecraft","minecraft:black_stained_glass","minecraft:black_stained_glass","Black Stained Glass","c:stained_glass, overworldify:everything_but_water, minecraft:impermeable, supplementaries:brick_breakable_recursive, spectrum:structure/transparent, c:glass_blocks, c:black_glass, c:silica_glass"
"Minecraft","minecraft:black_stained_glass_pane","minecraft:black_stained_glass_pane","Black Stained Glass Pane","supplementaries:brick_breakable_recursive, c:black_glass_panes, c:glass_panes, c:stained_glass_panes, overworldify:everything_but_water"
"Minecraft","minecraft:black_terracotta","minecraft:black_terracotta","Black Terracotta","minecraft:mineable/pickaxe, minecraft:overworld_carver_replaceables, minecraft:azalea_root_replaceable, minecraft:sculk_replaceable, overworldify:everything_but_water, minecraft:dead_bush_may_place_on, artifacts:mineable/digging_claws, minecraft:sculk_replaceable_world_gen, minecraft:terracotta, spectrum:deeper_down_carver_replaceables, minecraft:azalea_grows_on, spectrum:multitool_mineable"
"Minecraft","minecraft:black_wall_banner","minecraft:black_banner","Black Banner","overworldify:everything_but_water, minecraft:wall_post_override, artifacts:mineable/digging_claws, minecraft:mineable/axe, spectrum:multitool_mineable, minecraft:banners"
"Minecraft","minecraft:black_wool","minecraft:black_wool","Black Wool","minecraft:occludes_vibration_signals, overworldify:everything_but_water, minecraft:wool, minecraft:dampens_vibrations"
