"Mod name","Registry name","Hardness","Resistance"
"Minecraft","minecraft:birch_wall_sign",1.00,1.00
"Minecraft","minecraft:birch_wood",2.00,2.00
"Minecraft","minecraft:black_banner",1.00,1.00
"Minecraft","minecraft:black_bed",0.20,0.20
"Minecraft","minecraft:black_candle",0.10,0.10
"Minecraft","minecraft:black_candle_cake",0.50,0.50
"Minecraft","minecraft:black_carpet",0.10,0.10
"Minecraft","minecraft:black_concrete",1.80,1.80
"Minecraft","minecraft:black_concrete_powder",0.50,0.50
"Minecraft","minecraft:black_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:black_shulker_box",2.00,2.00
"Minecraft","minecraft:black_stained_glass",0.30,0.30
"Minecraft","minecraft:black_stained_glass_pane",0.30,0.30
"Minecraft","minecraft:black_terracotta",1.25,4.20
"Minecraft","minecraft:black_wall_banner",1.00,1.00
"Minecraft","minecraft:black_wool",0.80,0.80
"Minecraft","minecraft:blackstone",1.50,6.00
"Minecraft","minecraft:blackstone_slab",2.00,6.00
"Minecraft","minecraft:blackstone_stairs",1.50,6.00
"Minecraft","minecraft:blackstone_wall",1.50,6.00
"Minecraft","minecraft:blast_furnace",3.50,3.50
"Minecraft","minecraft:blue_banner",1.00,1.00
"Minecraft","minecraft:blue_bed",0.20,0.20
"Minecraft","minecraft:blue_candle",0.10,0.10
"Minecraft","minecraft:blue_candle_cake",0.50,0.50
"Minecraft","minecraft:blue_carpet",0.10,0.10
"Minecraft","minecraft:blue_concrete",1.80,1.80
"Minecraft","minecraft:blue_concrete_powder",0.50,0.50
"Minecraft","minecraft:blue_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:blue_ice",2.80,2.80
"Minecraft","minecraft:blue_orchid",0.00,0.00
"Minecraft","minecraft:blue_shulker_box",2.00,2.00
"Minecraft","minecraft:blue_stained_glass",0.30,0.30
"Minecraft","minecraft:blue_stained_glass_pane",0.30,0.30
"Minecraft","minecraft:blue_terracotta",1.25,4.20
"Minecraft","minecraft:blue_wall_banner",1.00,1.00
"Minecraft","minecraft:blue_wool",0.80,0.80
"Minecraft","minecraft:bone_block",2.00,2.00
"Minecraft","minecraft:bookshelf",1.50,1.50
"Minecraft","minecraft:brain_coral",0.00,0.00
"Minecraft","minecraft:brain_coral_block",1.50,6.00
"Minecraft","minecraft:brain_coral_fan",0.00,0.00
"Minecraft","minecraft:brain_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:brewing_stand",0.50,0.50
"Minecraft","minecraft:brick_slab",2.00,6.00
"Minecraft","minecraft:brick_stairs",2.00,6.00
"Minecraft","minecraft:brick_wall",2.00,6.00
"Minecraft","minecraft:bricks",2.00,6.00
"Minecraft","minecraft:brown_banner",1.00,1.00
"Minecraft","minecraft:brown_bed",0.20,0.20
"Minecraft","minecraft:brown_candle",0.10,0.10
"Minecraft","minecraft:brown_candle_cake",0.50,0.50
"Minecraft","minecraft:brown_carpet",0.10,0.10
"Minecraft","minecraft:brown_concrete",1.80,1.80
"Minecraft","minecraft:brown_concrete_powder",0.50,0.50
"Minecraft","minecraft:brown_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:brown_mushroom",0.00,0.00
"Minecraft","minecraft:brown_mushroom_block",0.20,0.20
"Minecraft","minecraft:brown_shulker_box",2.00,2.00
"Minecraft","minecraft:brown_stained_glass",0.30,0.30
"Minecraft","minecraft:brown_stained_glass_pane",0.30,0.30
"Minecraft","minecraft:brown_terracotta",1.25,4.20
"Minecraft","minecraft:brown_wall_banner",1.00,1.00
"Minecraft","minecraft:brown_wool",0.80,0.80
"Minecraft","minecraft:bubble_column",0.00,0.00
"Minecraft","minecraft:bubble_coral",0.00,0.00
"Minecraft","minecraft:bubble_coral_block",1.50,6.00
"Minecraft","minecraft:bubble_coral_fan",0.00,0.00
"Minecraft","minecraft:bubble_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:budding_amethyst",1.50,1.50
"Minecraft","minecraft:cactus",0.40,0.40
"Minecraft","minecraft:cake",0.50,0.50
"Minecraft","minecraft:calcite",0.75,0.75
"Minecraft","minecraft:calibrated_sculk_sensor",1.50,1.50
"Minecraft","minecraft:campfire",2.00,2.00
"Minecraft","minecraft:candle",0.10,0.10
"Minecraft","minecraft:candle_cake",0.50,0.50
"Minecraft","minecraft:carrots",0.00,0.00
"Minecraft","minecraft:cartography_table",2.50,2.50
"Minecraft","minecraft:carved_pumpkin",1.00,1.00
"Minecraft","minecraft:cauldron",2.00,2.00
"Minecraft","minecraft:cave_air",0.00,0.00
"Minecraft","minecraft:cave_vines",0.00,0.00
"Minecraft","minecraft:cave_vines_plant",0.00,0.00
"Minecraft","minecraft:chain",5.00,6.00
"Minecraft","minecraft:chain_command_block",-1.00,3600000.00
"Minecraft","minecraft:cherry_button",0.50,0.50
"Minecraft","minecraft:cherry_door",3.00,3.00
"Minecraft","minecraft:cherry_fence",2.00,3.00
"Minecraft","minecraft:cherry_fence_gate",2.00,3.00
"Minecraft","minecraft:cherry_hanging_sign",1.00,1.00
"Minecraft","minecraft:cherry_leaves",0.20,0.20
"Minecraft","minecraft:cherry_log",2.00,2.00
"Minecraft","minecraft:cherry_planks",2.00,3.00
"Minecraft","minecraft:cherry_pressure_plate",0.50,0.50
"Minecraft","minecraft:cherry_sapling",0.00,0.00
"Minecraft","minecraft:cherry_sign",1.00,1.00
"Minecraft","minecraft:cherry_slab",2.00,3.00
"Minecraft","minecraft:cherry_stairs",2.00,3.00
"Minecraft","minecraft:cherry_trapdoor",3.00,3.00
"Minecraft","minecraft:cherry_wall_hanging_sign",1.00,1.00
"Minecraft","minecraft:cherry_wall_sign",1.00,1.00
"Minecraft","minecraft:cherry_wood",2.00,2.00
"Minecraft","minecraft:chest",2.50,2.50
"Minecraft","minecraft:chipped_anvil",5.00,1200.00
"Minecraft","minecraft:chiseled_bookshelf",1.50,1.50
"Minecraft","minecraft:chiseled_deepslate",3.50,6.00
"Minecraft","minecraft:chiseled_nether_bricks",2.00,6.00
"Minecraft","minecraft:chiseled_polished_blackstone",1.50,6.00
"Minecraft","minecraft:chiseled_quartz_block",0.80,0.80
"Minecraft","minecraft:chiseled_red_sandstone",0.80,0.80
"Minecraft","minecraft:chiseled_sandstone",0.80,0.80
"Minecraft","minecraft:chiseled_stone_bricks",1.50,6.00
"Minecraft","minecraft:chorus_flower",0.40,0.40
"Minecraft","minecraft:chorus_plant",0.40,0.40
"Minecraft","minecraft:clay",0.60,0.60
"Minecraft","minecraft:coal_block",5.00,6.00
"Minecraft","minecraft:coal_ore",3.00,3.00
"Minecraft","minecraft:coarse_dirt",0.50,0.50
"Minecraft","minecraft:cobbled_deepslate",3.50,6.00
"Minecraft","minecraft:cobbled_deepslate_slab",3.50,6.00
"Minecraft","minecraft:cobbled_deepslate_stairs",3.50,6.00
"Minecraft","minecraft:cobbled_deepslate_wall",3.50,6.00
"Minecraft","minecraft:cobblestone",2.00,6.00
"Minecraft","minecraft:cobblestone_slab",2.00,6.00
"Minecraft","minecraft:cobblestone_stairs",2.00,6.00
"Minecraft","minecraft:cobblestone_wall",2.00,6.00
"Minecraft","minecraft:cobweb",4.00,4.00
"Minecraft","minecraft:cocoa",0.20,3.00
"Minecraft","minecraft:command_block",-1.00,3600000.00
"Minecraft","minecraft:comparator",0.00,0.00
"Minecraft","minecraft:composter",0.60,0.60
"Minecraft","minecraft:conduit",3.00,3.00
"Minecraft","minecraft:copper_block",3.00,6.00
"Minecraft","minecraft:copper_ore",3.00,3.00
"Minecraft","minecraft:cornflower",0.00,0.00
"Minecraft","minecraft:cracked_deepslate_bricks",3.50,6.00
"Minecraft","minecraft:cracked_deepslate_tiles",3.50,6.00
"Minecraft","minecraft:cracked_nether_bricks",2.00,6.00
"Minecraft","minecraft:cracked_polished_blackstone_bricks",1.50,6.00
"Minecraft","minecraft:cracked_stone_bricks",1.50,6.00
"Minecraft","minecraft:crafting_table",2.50,2.50
"Minecraft","minecraft:creeper_head",1.00,1.00
"Minecraft","minecraft:creeper_wall_head",1.00,1.00
"Minecraft","minecraft:crimson_button",0.50,0.50
"Minecraft","minecraft:crimson_door",3.00,3.00
"Minecraft","minecraft:crimson_fence",2.00,3.00
"Minecraft","minecraft:crimson_fence_gate",2.00,3.00
"Minecraft","minecraft:crimson_fungus",0.00,0.00
"Minecraft","minecraft:crimson_hanging_sign",1.00,1.00
"Minecraft","minecraft:crimson_hyphae",2.00,2.00
"Minecraft","minecraft:crimson_nylium",0.40,0.40
"Minecraft","minecraft:crimson_planks",2.00,3.00
"Minecraft","minecraft:crimson_pressure_plate",0.50,0.50
"Minecraft","minecraft:crimson_roots",0.00,0.00
"Minecraft","minecraft:crimson_sign",1.00,1.00
"Minecraft","minecraft:crimson_slab",2.00,3.00
"Minecraft","minecraft:crimson_stairs",2.00,3.00
"Minecraft","minecraft:crimson_stem",2.00,2.00
"Minecraft","minecraft:crimson_trapdoor",3.00,3.00
"Minecraft","minecraft:crimson_wall_hanging_sign",1.00,1.00
"Minecraft","minecraft:crimson_wall_sign",1.00,1.00
"Minecraft","minecraft:crying_obsidian",50.00,1200.00
"Minecraft","minecraft:cut_copper",3.00,6.00
"Minecraft","minecraft:cut_copper_slab",3.00,6.00
"Minecraft","minecraft:cut_copper_stairs",3.00,6.00
"Minecraft","minecraft:cut_red_sandstone",0.80,0.80
"Minecraft","minecraft:cut_red_sandstone_slab",2.00,6.00
"Minecraft","minecraft:cut_sandstone",0.80,0.80
"Minecraft","minecraft:cut_sandstone_slab",2.00,6.00
"Minecraft","minecraft:cyan_banner",1.00,1.00
"Minecraft","minecraft:cyan_bed",0.20,0.20
"Minecraft","minecraft:cyan_candle",0.10,0.10
"Minecraft","minecraft:cyan_candle_cake",0.50,0.50
"Minecraft","minecraft:cyan_carpet",0.10,0.10
"Minecraft","minecraft:cyan_concrete",1.80,1.80
"Minecraft","minecraft:cyan_concrete_powder",0.50,0.50
"Minecraft","minecraft:cyan_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:cyan_shulker_box",2.00,2.00
"Minecraft","minecraft:cyan_stained_glass",0.30,0.30
"Minecraft","minecraft:cyan_stained_glass_pane",0.30,0.30
"Minecraft","minecraft:cyan_terracotta",1.25,4.20
"Minecraft","minecraft:cyan_wall_banner",1.00,1.00
"Minecraft","minecraft:cyan_wool",0.80,0.80
"Minecraft","minecraft:damaged_anvil",5.00,1200.00
"Minecraft","minecraft:dandelion",0.00,0.00
"Minecraft","minecraft:dark_oak_button",0.50,0.50
"Minecraft","minecraft:dark_oak_door",3.00,3.00
"Minecraft","minecraft:dark_oak_fence",2.00,3.00
"Minecraft","minecraft:dark_oak_fence_gate",2.00,3.00
"Minecraft","minecraft:dark_oak_hanging_sign",1.00,1.00
"Minecraft","minecraft:dark_oak_leaves",0.20,0.20
"Minecraft","minecraft:dark_oak_log",2.00,2.00
"Minecraft","minecraft:dark_oak_planks",2.00,3.00
"Minecraft","minecraft:dark_oak_pressure_plate",0.50,0.50
"Minecraft","minecraft:dark_oak_sapling",0.00,0.00
"Minecraft","minecraft:dark_oak_sign",1.00,1.00
"Minecraft","minecraft:dark_oak_slab",2.00,3.00
"Minecraft","minecraft:dark_oak_stairs",2.00,3.00
"Minecraft","minecraft:dark_oak_trapdoor",3.00,3.00
"Minecraft","minecraft:dark_oak_wall_hanging_sign",1.00,1.00
"Minecraft","minecraft:dark_oak_wall_sign",1.00,1.00
"Minecraft","minecraft:dark_oak_wood",2.00,2.00
"Minecraft","minecraft:dark_prismarine",1.50,6.00
"Minecraft","minecraft:dark_prismarine_slab",1.50,6.00
"Minecraft","minecraft:dark_prismarine_stairs",1.50,6.00
"Minecraft","minecraft:daylight_detector",0.20,0.20
"Minecraft","minecraft:dead_brain_coral",0.00,0.00
"Minecraft","minecraft:dead_brain_coral_block",1.50,6.00
"Minecraft","minecraft:dead_brain_coral_fan",0.00,0.00
"Minecraft","minecraft:dead_brain_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:dead_bubble_coral",0.00,0.00
"Minecraft","minecraft:dead_bubble_coral_block",1.50,6.00
"Minecraft","minecraft:dead_bubble_coral_fan",0.00,0.00
"Minecraft","minecraft:dead_bubble_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:dead_bush",0.00,0.00
"Minecraft","minecraft:dead_fire_coral",0.00,0.00
"Minecraft","minecraft:dead_fire_coral_block",1.50,6.00
"Minecraft","minecraft:dead_fire_coral_fan",0.00,0.00
"Minecraft","minecraft:dead_fire_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:dead_horn_coral",0.00,0.00
"Minecraft","minecraft:dead_horn_coral_block",1.50,6.00
"Minecraft","minecraft:dead_horn_coral_fan",0.00,0.00
"Minecraft","minecraft:dead_horn_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:dead_tube_coral",0.00,0.00
"Minecraft","minecraft:dead_tube_coral_block",1.50,6.00
"Minecraft","minecraft:dead_tube_coral_fan",0.00,0.00
"Minecraft","minecraft:dead_tube_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:decorated_pot",0.00,0.00
"Minecraft","minecraft:deepslate",3.00,6.00
"Minecraft","minecraft:deepslate_brick_slab",3.50,6.00
"Minecraft","minecraft:deepslate_brick_stairs",3.50,6.00
"Minecraft","minecraft:deepslate_brick_wall",3.50,6.00
"Minecraft","minecraft:deepslate_bricks",3.50,6.00
"Minecraft","minecraft:deepslate_coal_ore",4.50,3.00
"Minecraft","minecraft:deepslate_copper_ore",4.50,3.00
"Minecraft","minecraft:deepslate_diamond_ore",4.50,3.00
"Minecraft","minecraft:deepslate_emerald_ore",4.50,3.00
"Minecraft","minecraft:deepslate_gold_ore",4.50,3.00
"Minecraft","minecraft:deepslate_iron_ore",4.50,3.00
"Minecraft","minecraft:deepslate_lapis_ore",4.50,3.00
"Minecraft","minecraft:deepslate_redstone_ore",4.50,3.00
"Minecraft","minecraft:deepslate_tile_slab",3.50,6.00
"Minecraft","minecraft:deepslate_tile_stairs",3.50,6.00
"Minecraft","minecraft:deepslate_tile_wall",3.50,6.00
"Minecraft","minecraft:deepslate_tiles",3.50,6.00
"Minecraft","minecraft:detector_rail",0.70,0.70
"Minecraft","minecraft:diamond_block",5.00,6.00
"Minecraft","minecraft:diamond_ore",3.00,3.00
"Minecraft","minecraft:diorite",1.50,6.00
"Minecraft","minecraft:diorite_slab",1.50,6.00
"Minecraft","minecraft:diorite_stairs",1.50,6.00
"Minecraft","minecraft:diorite_wall",1.50,6.00
"Minecraft","minecraft:dirt",0.50,0.50
"Minecraft","minecraft:dirt_path",0.65,0.65
"Minecraft","minecraft:dispenser",3.50,3.50
"Minecraft","minecraft:dragon_egg",3.00,9.00
"Minecraft","minecraft:dragon_head",1.00,1.00
"Minecraft","minecraft:dragon_wall_head",1.00,1.00
"Minecraft","minecraft:dried_kelp_block",0.50,2.50
"Minecraft","minecraft:dripstone_block",1.50,1.00
"Minecraft","minecraft:dropper",3.50,3.50
"Minecraft","minecraft:emerald_block",5.00,6.00
"Minecraft","minecraft:emerald_ore",3.00,3.00
"Minecraft","minecraft:enchanting_table",5.00,1200.00
"Minecraft","minecraft:end_gateway",-1.00,3600000.00
"Minecraft","minecraft:end_portal",-1.00,3600000.00
"Minecraft","minecraft:end_portal_frame",-1.00,3600000.00
"Minecraft","minecraft:end_rod",0.00,0.00
"Minecraft","minecraft:end_stone",3.00,9.00
"Minecraft","minecraft:end_stone_brick_slab",3.00,9.00
"Minecraft","minecraft:end_stone_brick_stairs",3.00,9.00
"Minecraft","minecraft:end_stone_brick_wall",3.00,9.00
"Minecraft","minecraft:end_stone_bricks",3.00,9.00
"Minecraft","minecraft:ender_chest",22.50,600.00
"Minecraft","minecraft:exposed_copper",3.00,6.00
"Minecraft","minecraft:exposed_cut_copper",3.00,6.00
"Minecraft","minecraft:exposed_cut_copper_slab",3.00,6.00
"Minecraft","minecraft:exposed_cut_copper_stairs",3.00,6.00
"Minecraft","minecraft:farmland",0.60,0.60
"Minecraft","minecraft:fern",0.00,0.00
"Minecraft","minecraft:fire",0.00,0.00
"Minecraft","minecraft:fire_coral",0.00,0.00
"Minecraft","minecraft:fire_coral_block",1.50,6.00
"Minecraft","minecraft:fire_coral_fan",0.00,0.00
"Minecraft","minecraft:fire_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:fletching_table",2.50,2.50
"Minecraft","minecraft:flower_pot",0.00,0.00
"Minecraft","minecraft:flowering_azalea",0.00,0.00
"Minecraft","minecraft:flowering_azalea_leaves",0.20,0.20
"Minecraft","minecraft:frogspawn",0.00,0.00
"Minecraft","minecraft:frosted_ice",0.50,0.50
"Minecraft","minecraft:furnace",3.50,3.50
"Minecraft","minecraft:gilded_blackstone",1.50,6.00
"Minecraft","minecraft:glass",0.30,0.30
"Minecraft","minecraft:glass_pane",0.30,0.30
"Minecraft","minecraft:glow_lichen",0.20,0.20
"Minecraft","minecraft:glowstone",0.30,0.30
"Minecraft","minecraft:gold_block",3.00,6.00
"Minecraft","minecraft:gold_ore",3.00,3.00
"Minecraft","minecraft:granite",1.50,6.00
"Minecraft","minecraft:granite_slab",1.50,6.00
"Minecraft","minecraft:granite_stairs",1.50,6.00
"Minecraft","minecraft:granite_wall",1.50,6.00
"Minecraft","minecraft:grass",0.00,0.00
"Minecraft","minecraft:grass_block",0.60,0.60
"Minecraft","minecraft:gravel",0.60,0.60
"Minecraft","minecraft:gray_banner",1.00,1.00
"Minecraft","minecraft:gray_bed",0.20,0.20
"Minecraft","minecraft:gray_candle",0.10,0.10
"Minecraft","minecraft:gray_candle_cake",0.50,0.50
"Minecraft","minecraft:gray_carpet",0.10,0.10
"Minecraft","minecraft:gray_concrete",1.80,1.80
"Minecraft","minecraft:gray_concrete_powder",0.50,0.50
"Minecraft","minecraft:gray_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:gray_shulker_box",2.00,2.00
"Minecraft","minecraft:gray_stained_glass",0.30,0.30
"Minecraft","minecraft:gray_stained_glass_pane",0.30,0.30
"Minecraft","minecraft:gray_terracotta",1.25,4.20
"Minecraft","minecraft:gray_wall_banner",1.00,1.00
"Minecraft","minecraft:gray_wool",0.80,0.80
"Minecraft","minecraft:green_banner",1.00,1.00
"Minecraft","minecraft:green_bed",0.20,0.20
"Minecraft","minecraft:green_candle",0.10,0.10
"Minecraft","minecraft:green_candle_cake",0.50,0.50
"Minecraft","minecraft:green_carpet",0.10,0.10
"Minecraft","minecraft:green_concrete",1.80,1.80
"Minecraft","minecraft:green_concrete_powder",0.50,0.50
"Minecraft","minecraft:green_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:green_shulker_box",2.00,2.00
"Minecraft","minecraft:green_stained_glass",0.30,0.30
"Minecraft","minecraft:green_stained_glass_pane",0.30,0.30
"Minecraft","minecraft:green_terracotta",1.25,4.20
"Minecraft","minecraft:green_wall_banner",1.00,1.00
"Minecraft","minecraft:green_wool",0.80,0.80
"Minecraft","minecraft:grindstone",2.00,6.00
"Minecraft","minecraft:hanging_roots",0.00,0.00
"Minecraft","minecraft:hay_block",0.50,0.50
"Minecraft","minecraft:heavy_weighted_pressure_plate",0.50,0.50
"Minecraft","minecraft:honey_block",0.00,0.00
"Minecraft","minecraft:honeycomb_block",0.60,0.60
"Minecraft","minecraft:hopper",3.00,4.80
"Minecraft","minecraft:horn_coral",0.00,0.00
"Minecraft","minecraft:horn_coral_block",1.50,6.00
"Minecraft","minecraft:horn_coral_fan",0.00,0.00
"Minecraft","minecraft:horn_coral_wall_fan",0.00,0.00
"Minecraft","minecraft:ice",0.50,0.50
"Minecraft","minecraft:infested_chiseled_stone_bricks",0.75,0.75
"Minecraft","minecraft:infested_cobblestone",1.00,0.75
"Minecraft","minecraft:infested_cracked_stone_bricks",0.75,0.75
"Minecraft","minecraft:infested_deepslate",1.50,0.75
"Minecraft","minecraft:infested_mossy_stone_bricks",0.75,0.75
"Minecraft","minecraft:infested_stone",0.75,0.75
"Minecraft","minecraft:infested_stone_bricks",0.75,0.75
"Minecraft","minecraft:iron_bars",5.00,6.00
"Minecraft","minecraft:iron_block",5.00,6.00
"Minecraft","minecraft:iron_door",5.00,5.00
"Minecraft","minecraft:iron_ore",3.00,3.00
"Minecraft","minecraft:iron_trapdoor",5.00,5.00
"Minecraft","minecraft:jack_o_lantern",1.00,1.00
"Minecraft","minecraft:jigsaw",-1.00,3600000.00
"Minecraft","minecraft:jukebox",2.00,6.00
"Minecraft","minecraft:jungle_button",0.50,0.50
"Minecraft","minecraft:jungle_door",3.00,3.00
"Minecraft","minecraft:jungle_fence",2.00,3.00
"Minecraft","minecraft:jungle_fence_gate",2.00,3.00
"Minecraft","minecraft:jungle_hanging_sign",1.00,1.00
"Minecraft","minecraft:jungle_leaves",0.20,0.20
"Minecraft","minecraft:jungle_log",2.00,2.00
"Minecraft","minecraft:jungle_planks",2.00,3.00
"Minecraft","minecraft:jungle_pressure_plate",0.50,0.50
"Minecraft","minecraft:jungle_sapling",0.00,0.00
"Minecraft","minecraft:jungle_sign",1.00,1.00
"Minecraft","minecraft:jungle_slab",2.00,3.00
"Minecraft","minecraft:jungle_stairs",2.00,3.00
"Minecraft","minecraft:jungle_trapdoor",3.00,3.00
"Minecraft","minecraft:jungle_wall_hanging_sign",1.00,1.00
"Minecraft","minecraft:jungle_wall_sign",1.00,1.00
"Minecraft","minecraft:jungle_wood",2.00,2.00
"Minecraft","minecraft:kelp",0.00,0.00
"Minecraft","minecraft:kelp_plant",0.00,0.00
"Minecraft","minecraft:ladder",0.40,0.40
"Minecraft","minecraft:lantern",3.50,3.50
"Minecraft","minecraft:lapis_block",3.00,3.00
"Minecraft","minecraft:lapis_ore",3.00,3.00
"Minecraft","minecraft:large_amethyst_bud",1.50,1.50
"Minecraft","minecraft:large_fern",0.00,0.00
"Minecraft","minecraft:lava",100.00,100.00
"Minecraft","minecraft:lava_cauldron",2.00,2.00
"Minecraft","minecraft:lectern",2.50,2.50
"Minecraft","minecraft:lever",0.50,0.50
"Minecraft","minecraft:light",-1.00,3600000.75
"Minecraft","minecraft:light_blue_banner",1.00,1.00
"Minecraft","minecraft:light_blue_bed",0.20,0.20
"Minecraft","minecraft:light_blue_candle",0.10,0.10
"Minecraft","minecraft:light_blue_candle_cake",0.50,0.50
"Minecraft","minecraft:light_blue_carpet",0.10,0.10
"Minecraft","minecraft:light_blue_concrete",1.80,1.80
"Minecraft","minecraft:light_blue_concrete_powder",0.50,0.50
"Minecraft","minecraft:light_blue_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:light_blue_shulker_box",2.00,2.00
"Minecraft","minecraft:light_blue_stained_glass",0.30,0.30
"Minecraft","minecraft:light_blue_stained_glass_pane",0.30,0.30
"Minecraft","minecraft:light_blue_terracotta",1.25,4.20
"Minecraft","minecraft:light_blue_wall_banner",1.00,1.00
"Minecraft","minecraft:light_blue_wool",0.80,0.80
"Minecraft","minecraft:light_gray_banner",1.00,1.00
"Minecraft","minecraft:light_gray_bed",0.20,0.20
"Minecraft","minecraft:light_gray_candle",0.10,0.10
"Minecraft","minecraft:light_gray_candle_cake",0.50,0.50
"Minecraft","minecraft:light_gray_carpet",0.10,0.10
"Minecraft","minecraft:light_gray_concrete",1.80,1.80
"Minecraft","minecraft:light_gray_concrete_powder",0.50,0.50
"Minecraft","minecraft:light_gray_glazed_terracotta",1.40,1.40
"Minecraft","minecraft:light_gray_shulker_box",2.00,2.00
