"ID","Name","Description","Parent"
"regrowth:rgroot/teardown","[Tear Down Those Walls!]","Villagers will not build walls if you remove the wall block over village bells!","regrowth:rgroot/rgroot"
"rottencreatures:he_is_a_pirate","[He's a Pirate!]","Kill DeadBeard and take his Treasure!","rottencreatures:root"
"rottencreatures:kill_all_rot","[Purification!]","Kill every type of Rotten Creature!","rottencreatures:root"
"rottencreatures:mr_freeze","[Damn you, Batman, For forcing my hand]","Brew a Freeze Potion","rottencreatures:root"
"rottencreatures:root","[Rotten to the Core]","Encounter the decaying creatures of this world","-"
"rottencreatures:shocking_encounter","[High Tension]","Kill an immortal","rottencreatures:root"
"simplyswords:arcanethyst","[Arcane Empowerment]","Find the unique weapon Arcanethyst.","simplyswords:runic_weapon"
"simplyswords:bramblethorn","[Spore Galore]","Find the unique weapon Bramblethorn.","simplyswords:runic_weapon"
"simplyswords:brimstone","[Blast Protection Not Included]","Find the unique weapon Brimstone Claymore.","simplyswords:runic_weapon"
"simplyswords:caelestis","[Window to another realm]","Find the unique weapon Caelestis.","simplyswords:runic_weapon"
"simplyswords:decaying_relic","[Ancient Relic]","Find the unique weapon Decaying Relic.","simplyswords:runic_weapon"
"simplyswords:dormant_relic","[Batteries Not Included]","Obtain the Dormant Relic.","simplyswords:runic_weapon"
"simplyswords:emberblade","[The Ire in Fire]","Find the unique weapon Emberblade.","simplyswords:runic_weapon"
"simplyswords:emberlash","[Fire Hazard]","Find the unique weapon Emberlash.","simplyswords:runic_weapon"
"simplyswords:enigma","[Weather Controller]","Find the unique weapon Enigma.","simplyswords:runic_weapon"
"simplyswords:flamewind","[Is this thing alive?]","Find the unique weapon Flamewind.","simplyswords:runic_weapon"
"simplyswords:frostfall","[Ice Cubed]","Find the unique weapon Frostfall.","simplyswords:runic_weapon"
"simplyswords:harbinger","[From The Abyss]","Obtain the unique weapon Harbinger.","simplyswords:dormant_relic"
"simplyswords:hearthflame","[Forged in Flames]","Find the unique weapon Hearthflame.","simplyswords:runic_weapon"
"simplyswords:hiveheart","[NOT THE BEES!]","Find the unique weapon Hiveheart.","simplyswords:runic_weapon"
"simplyswords:icewhisper","[Listen Close]","Find the unique weapon Icewhisper.","simplyswords:runic_weapon"
"simplyswords:livyatan","[Walking on Thin Ice]","Find the unique weapon Livyatan.","simplyswords:runic_weapon"
"simplyswords:longsword_plague","[Maybe Don't Touch it]","Find the unique weapon Longsword of the Plague.","simplyswords:runic_weapon"
"simplyswords:magiblade","[Ancient Technology]","Find the unique weapon Magiblade.","simplyswords:decaying_relic"
"simplyswords:magiscythe","[Ancient Technology]","Find the unique weapon Magiscythe.","simplyswords:decaying_relic"
"simplyswords:magispear","[Ancient Technology]","Find the unique weapon Magispear.","simplyswords:decaying_relic"
"simplyswords:mjolnir","[It Comes Back, Right?]","Find the unique weapon Mjolnir.","simplyswords:runic_weapon"
"simplyswords:molten_edge","[Not Too Hot to Handle]","Find the unique weapon Molten Edge.","simplyswords:runic_weapon"
"simplyswords:ribboncleaver","[Biceps Required]","Find the unique weapon Ribboncleaver.","simplyswords:runic_weapon"
"simplyswords:runic_weapon","[Rune Etching]","Obtain a runic weapon.","simplyswords:simplyswords"
"simplyswords:shadowsting","[From The Shadows]","Find the unique weapon Shadowsting.","simplyswords:runic_weapon"
"simplyswords:simplyswords","[Simply Swords]","Runic powers await you.","-"
"simplyswords:slumbering_lichblade","[Wake Up!]","Obtain the Slumbering Lichblade.","simplyswords:runic_weapon"
"simplyswords:soulkeeper","[Keeper of Souls]","Find the unique weapon Soulkeeper.","simplyswords:runic_weapon"
"simplyswords:soulpyre","[Burner of Souls]","Find the unique weapon Soul Pyre.","simplyswords:runic_weapon"
"simplyswords:soulrender","[Render of Souls]","Find the unique weapon Soulrender.","simplyswords:runic_weapon"
"simplyswords:soulstealer","[Stealer of Souls]","Find the unique weapon Soulstealer.","simplyswords:runic_weapon"
"simplyswords:stars_edge","[Cosmic Fury]","Find the unique weapon Star's Edge.","simplyswords:runic_weapon"
"simplyswords:stormbringer","[Bringer of Storms]","Find the unique weapon Stormbringer.","simplyswords:runic_weapon"
"simplyswords:storms_edge","[Lightning Strikes Twice]","Find the unique weapon Storm's Edge.","simplyswords:runic_weapon"
"simplyswords:sunfire","[Sanctified]","Obtain the unique weapon Sunfire.","simplyswords:dormant_relic"
"simplyswords:sword_on_a_stick","[Engineering Marvel]","Obtain the unique weapon Sword on a Stick.","simplyswords:runic_weapon"
"simplyswords:tempest","[Weather Warning]","Find the unique weapon Tempest.","simplyswords:runic_weapon"
"simplyswords:the_watcher","[Always Watching]","Find the unique weapon The Watcher.","simplyswords:runic_weapon"
"simplyswords:thunderbrand","[Thunder Time]","Find the unique weapon Thunderbrand.","simplyswords:runic_weapon"
"simplyswords:twisted_blade","[Getting it Twisted]","Find the unique weapon Twisted Blade.","simplyswords:runic_weapon"
"simplyswords:watching_warglaive","[Eyes Open]","Find the unique weapon Watching Warglaive.","simplyswords:runic_weapon"
"simplyswords:waxweaver","[Wax On]","Find the unique weapon Waxweaver.","simplyswords:runic_weapon"
"simplyswords:whisperwind","[Can you hear it?]","Find the unique weapon Whisperwind.","simplyswords:runic_weapon"
"simplyswords:wickpiercer","[Wax Off]","Find the unique weapon Wickpiercer.","simplyswords:runic_weapon"
"spectral-decorations:pluck_colored_effulgent_feather","[Hue Hue Hue]","Use your Paintbrush to color a Kindling and shear a Colored Feather from it","spectrum:pluck_effulgent_feather"
"spectral_seas:seamanship/beacon_sighted","[Beacon Sighted]","Discover a light in the darkness","spectral_seas:seamanship/sail_away"
"spectral_seas:seamanship/diving_suit","[Diving Bells and Copper Shells]","Craft a complete diving suit","spectral_seas:seamanship/sail_away"
"spectral_seas:seamanship/fleet_commander","[Fleet Commander]","Build one of every ship type","spectral_seas:seamanship/shipwright"
"spectral_seas:seamanship/flying_colors","[Flying Colors]","Decorate your ship with dye or a banner.","spectral_seas:seamanship/shipwright"
"spectral_seas:seamanship/got_them_in_my_sights","[Got Them In My Sights]","Shoot a Mob With a Scoped Musket…
which is a real thing","spectral_seas:seamanship/the_long_arm"
"spectral_seas:seamanship/legend_awakened","[Legend Awakened]","Obtain a Legendary Trident","spectral_seas:seamanship/sleeping_legend"
"spectral_seas:seamanship/master_of_the_hunt","[Master of the Hunt]","Obtain a Harpoon Launcher","spectral_seas:seamanship/neptunes_lance"
"spectral_seas:seamanship/neptunes_lance","[Neptune's Lance]","Obtain a Trident or Harpoon","spectral_seas:seamanship/diving_suit"
"spectral_seas:seamanship/on_foreign_shores","[On Foreign Shores]","Sail to a distant island","spectral_seas:seamanship/sail_away"
"spectral_seas:seamanship/one_sheet_to_the_wind","[One Sheet To The Wind]","Get your hands on a sail","spectral_seas:seamanship/rigged"
"spectral_seas:seamanship/powder_and_shot","[Powder and Shot]","Load a Black Powder Weapon","spectral_seas:seamanship/root"
"spectral_seas:seamanship/rigged","[Rigged]","Obtain a rope and craft a lead from it.","spectral_seas:seamanship/root"
"spectral_seas:seamanship/root","[Seamanship]","Sailing the Spectral Seas","-"
"spectral_seas:seamanship/sail_away","[Sail Away]","Board a ship","spectral_seas:seamanship/root"
"spectral_seas:seamanship/shipwright","[Shipwright]","Build yourself a ship","spectral_seas:seamanship/one_sheet_to_the_wind"
"spectral_seas:seamanship/sleeping_legend","[Sleeping Legend]","Obtain a Slumbering Trident","spectral_seas:seamanship/neptunes_lance"
"spectral_seas:seamanship/thar_she_blows","[Thar She Blows]","Shoot a Mob with a Harpoon","spectral_seas:seamanship/master_of_the_hunt"
"spectral_seas:seamanship/the_long_arm","[The Long Arm]","Obtain a Musket","spectral_seas:seamanship/powder_and_shot"
"spectral_seas:seamanship/this_is_my_boom_stick","[This is My BOOM STICK]","Obtain a blunderbuss","spectral_seas:seamanship/powder_and_shot"
"spectral_seas:seamanship/three_times_as_awesome","[Three Times as Awesome]","Upgrade a Trident","spectral_seas:seamanship/neptunes_lance"
"spectral_seas:seamanship/towering_achievement","[A Towering Achievement]","Find One of Every Type of Tower","spectral_seas:seamanship/beacon_sighted"
"spectral_seas:seamanship/what_lies_beneath","[What Lies Beneath]","Enter an Ancient Structure Beneath the Sea","spectral_seas:seamanship/diving_suit"
"spectrum:ascend_kindling","[He Explarded]","Send a Kindling on a one way trip to the God of Dragons' dream","spectrum:remember_kindling"
"spectrum:break_cracked_dragonbone","[The Dragon lies Bleeding]","Crack and break Dragonbone","spectrum:spectrum"
"spectrum:break_gemstone_ore","[Gemstone Prospector]","Mine Gemstone Ore. You found it right next to a Geode - a good indicator a Geode is close!","spectrum:collect_any_basic_shard"
"spectrum:build_basic_pedestal_structure","[Funneling Magic]","To fully harness the powers of your improved Pigment Pedestal you will need to build a structure that funnels the energy from gemstones to it","spectrum:craft_cmy_pedestal"
"spectrum:build_fusion_shrine","[Powerful Display]","Construct the Fusion Shrine","spectrum:collect_all_basic_pigments_besides_brown"
"spectrum:catch_shooting_star","[Reaching for the Sky]","Catch a Shooting Star right out of the sky","spectrum:collect_star_fragment"
"spectrum:collect_all_basic_pigments","[Gotta collect them All]","Collect all 12 kinds of colorful pigment","spectrum:collect_pigment"
"spectrum:collect_all_basic_pigments_besides_brown","[Brown is weird]","Mixing colors seemed so easy. But then brown had to ruin your fun. Literally impossible to mix using your current palette","spectrum:collect_pigment"
"spectrum:collect_all_basic_shards","[How many are there?]","Collect all types of naturally generating gemstones","spectrum:collect_any_basic_shard"
"spectrum:collect_all_shooting_star_variants","[Star Child]","Crouch-click on a Shooting Star to pick it up. Can you collect all variants?","spectrum:collect_star_fragment"
"spectrum:collect_amaranth","[A Crop, long forgotten]","Find Amaranth Grains","spectrum:collect_vegetal"
"spectrum:collect_amaranth_bushel","[Vibrancy]","Grow Amaranth to completion and harvest it","spectrum:collect_amaranth"
"spectrum:collect_any_basic_shard","[An Exciting Feeling]","Collect your first Gemstone Shard","spectrum:spectrum"
"spectrum:collect_four_leaf_clover","[Getting Lucky]","Find a Four-Leaved Clover","spectrum:collect_pigment"
"spectrum:collect_gemstone_powder","[With Sparkles, please]","Crafting in the Pigment Pedestal requires Gemstone Powder. You can get some by crushing Gemstone Shards","spectrum:place_pedestal"
"spectrum:collect_mermaids_gem","[What grows deep under the Sea?]","Collect a Mermaid's Gem","spectrum:place_pedestal"
"spectrum:collect_nightdew","[A bit stronger than Chamomile]","Discover a leaf not unlike tea","spectrum:spectrum"
"spectrum:collect_pigment","[Collect pure Pigment]","Break the leaves of a Colored Tree to get the pure Pigment you so desired. The Leaves release their precious harvest only when broken by You personally","spectrum:craft_colored_sapling"
"spectrum:collect_quitoxic_reeds","[Swamped]","Discover Quitoxic Reeds","spectrum:craft_cmy_pedestal"
"spectrum:collect_radiating_ender","[Torn from cold, dead Hands]","Some Endermen that appear in your world carry blocks with them that seem to radiate an eerie aura","spectrum:spectrum"
"spectrum:collect_shimmerstone","[More than meets the Eye]","You never noticed this ore before at all.... weird. Is there more to the world than you previously thought?","spectrum:craft_using_pedestal"
"spectrum:collect_star_fragment","[Starry Skies]","Gather the precious remnants of a Shooting Star","spectrum:collect_all_basic_pigments"
"spectrum:collect_vegetal","[Organic Matter]","Place them food, lean back and watch them devour... then break them to harvest their drops","spectrum:craft_bottle_of_fading"
"spectrum:consume_purple_star_candy","[The Best 1 Star Menu]","Get a hold of and eat an Enchanted Star Cookie","spectrum:collect_amaranth_bushel"
"spectrum:craft_bottle_of_fading","[What Should Not Be]","Time to tinker with your new magical abilities. Create life! Or more like... microorganisms. Weak and slow. It's something. What do they eat?","spectrum:collect_shimmerstone"
"spectrum:craft_cmy_pedestal","[CMY ON]","Upgrade your Pigment Pedestal by using all your collected shards","spectrum:craft_using_pedestal"
"spectrum:craft_colored_sapling","[All around Me are Familiar Aces]","Use your magical abilities to craft a colored sapling","spectrum:collect_vegetal"
"spectrum:craft_onyx_pedestal","[One more can't hurt, right?]","Use the Onyx Shard to further enhance your Pigment Pedestal","spectrum:create_onyx_shard"
"spectrum:craft_salted_jaramel_trifle_or_tart","[Extra Salty]","Bake with the Tears of your Enemies","spectrum:collect_amaranth_bushel"
"spectrum:craft_using_pedestal","[Strangely familiar]","Use your Pigment Pedestal to craft an item using Gemstone Powder. Trigger it with a Paintbrush or Redstone to start crafting","spectrum:place_pedestal"
"spectrum:create_onyx_shard","[Back in Black]","Use the Fusion Shrine to create a black shard in the darkest of nights","spectrum:build_fusion_shrine"
"spectrum:dark_radiance_staff","[Whoa! This is Worthless]","Change the light level of one of Radiance Staffs Lights to 1 by using the Staff on it","spectrum:build_basic_pedestal_structure"
"spectrum:drink_tea_with_scone","[The Fine British Way]","Drink Tea while having a Scone in your hotbar. Classy!","spectrum:collect_amaranth_bushel"
"spectrum:eat_each_pastry","[Starving Artist]","Craft and eat all pastries there are","spectrum:craft_salted_jaramel_trifle_or_tart"
"spectrum:endgame/find_forsaken_cathedral","spectrum:endgame/find_forsaken_cathedral","<null>","-"
"spectrum:endgame/finish_progression","[A Journeys End]","Reach the end of your magical journey. Congratulations, Pigment Tinkerer!","spectrum:endgame/open_mysterious_compass"
"spectrum:endgame/open_mysterious_compass","[A Path to Closure]","Socket a Moonstone Core into a Mysterious Locket and open it","spectrum:endgame/spectrum_endgame"
"spectrum:endgame/spectrum_endgame","[Spectrum - A Final Encore]","A story about a journeys end","-"
"spectrum:enter_color_mixing_preservation_ruin","[Mixed Up]","Enter a colorful Preservation Ruin","spectrum:find_preservation_ruins"
"spectrum:enter_dike_gate_preservation_ruin","[A Sturdy Dike]","Enter a forcefield-protected Preservation Ruin","spectrum:find_preservation_ruins"
"spectrum:enter_ender_glass","[Mesmerizing]","Walk through Ender Glass","spectrum:collect_radiating_ender"
"spectrum:enter_wireless_redstone_preservation_ruin","[Short Wired]","Enter a Preservation Ruin protected by Bedrock","spectrum:find_preservation_ruins"
"spectrum:fail_to_glitch_into_preservation_ruin","[Yeeted]","Find out that you are not invited","spectrum:find_preservation_ruins"
"spectrum:fail_to_take_item_out_of_pedestal","[Trigger it with a Paintbrush or Redstone to start crafting]","Trigger it with a Paintbrush or Redstone to start crafting","spectrum:place_pedestal"
"spectrum:fill_bottomless_bundle","[Filled to the Brim]","Completely fill up a Bottomless Bundle","spectrum:collect_quitoxic_reeds"
"spectrum:fill_bottomless_bundle_for_real_this_time","[For real this time]","Completely fill up a fully enchanted Bottomless Bundle by collecting 2000000000 items of one type","spectrum:fill_bottomless_bundle"
"spectrum:find_preservation_ruins","[An Impenetrable Fort]","In the underground you found a well-protected structure. There HAS to be a way to get into it! If not now, then later... better keep this place in mind.","spectrum:spectrum"
"spectrum:fish_an_entity","[So long, and thanks for.. what]","Reel in a Big Catch","spectrum:collect_mermaids_gem"
"spectrum:fish_in_lava","[Burning Desires]","I wonder...","spectrum:collect_pigment"
"spectrum:get_hit_while_wearing_full_suit_of_gemstone_armor","[Overcharged]","Get hit while wearing a full suit of Gemstone Armor","spectrum:build_basic_pedestal_structure"
"spectrum:gift_or_open_present","[Colorful Spectacle]","Fill and wrap a present and place it down for someone you like to open - or open one yourself","spectrum:collect_shimmerstone"
"spectrum:gift_wet_lava_sponge","[Damage to You!]","Throw a Wet Lava Sponge at another player","spectrum:craft_using_pedestal"
"spectrum:grow_bloodstone_in_crystallarieum","[Strength of Will]","...for upon your hand sits the will of Wyrms of Yore - their drive for conquest and domination, crystallized. And upon it, witness your reflection","spectrum:pluck_effulgent_feather"
"spectrum:hidden/break_black_materia","spectrum:hidden/break_black_materia","<null>","-"
"spectrum:hidden/break_nightdew_vine","spectrum:hidden/break_nightdew_vine","<null>","-"
"spectrum:hidden/build_any_complex_structure","spectrum:hidden/build_any_complex_structure","<null>","-"
"spectrum:hidden/collect_all_crystal_flowers","spectrum:hidden/collect_all_crystal_flowers","<null>","-"
"spectrum:hidden/collect_all_jade_vine_products","spectrum:hidden/collect_all_jade_vine_products","<null>","-"
"spectrum:hidden/collect_aloe","spectrum:hidden/collect_aloe","<null>","-"
"spectrum:hidden/collect_any_crystallized_block","spectrum:hidden/collect_any_crystallized_block","<null>","-"
"spectrum:hidden/collect_ash","spectrum:hidden/collect_ash","<null>","-"
"spectrum:hidden/collect_ash_and_slush","spectrum:hidden/collect_ash_and_slush","<null>","-"
"spectrum:hidden/collect_basal_marble","spectrum:hidden/collect_basal_marble","<null>","-"
"spectrum:hidden/collect_blackslag","spectrum:hidden/collect_blackslag","<null>","-"
"spectrum:hidden/collect_blazing_crystal","spectrum:hidden/collect_blazing_crystal","<null>","-"
"spectrum:hidden/collect_clover","spectrum:hidden/collect_clover","<null>","-"
"spectrum:hidden/collect_cookbooks/brewers_handbook","spectrum:hidden/collect_cookbooks/brewers_handbook","<null>","-"
"spectrum:hidden/collect_cookbooks/imbrifer_cookbook","spectrum:hidden/collect_cookbooks/imbrifer_cookbook","<null>","-"
"spectrum:hidden/collect_cookbooks/imperial_cookbook","spectrum:hidden/collect_cookbooks/imperial_cookbook","<null>","-"
"spectrum:hidden/collect_cookbooks/melochites_cookbook_vol_1","spectrum:hidden/collect_cookbooks/melochites_cookbook_vol_1","<null>","-"
"spectrum:hidden/collect_cookbooks/melochites_cookbook_vol_2","spectrum:hidden/collect_cookbooks/melochites_cookbook_vol_2","<null>","-"
"spectrum:hidden/collect_cookbooks/poisoners_handbook","spectrum:hidden/collect_cookbooks/poisoners_handbook","<null>","-"
"spectrum:hidden/collect_crawfish","spectrum:hidden/collect_crawfish","<null>","-"
"spectrum:hidden/collect_dragonjag","spectrum:hidden/collect_dragonjag","<null>","-"
"spectrum:hidden/collect_every_refined_resource","spectrum:hidden/collect_every_refined_resource","<null>","-"
"spectrum:hidden/collect_fissure_plum","spectrum:hidden/collect_fissure_plum","<null>","-"
"spectrum:hidden/collect_frostbite_crystal","spectrum:hidden/collect_frostbite_crystal","<null>","-"
"spectrum:hidden/collect_gilded_book","spectrum:hidden/collect_gilded_book","<null>","-"
"spectrum:hidden/collect_glass_peach","spectrum:hidden/collect_glass_peach","<null>","-"
"spectrum:hidden/collect_hibernating_jade_vine_bulb","spectrum:hidden/collect_hibernating_jade_vine_bulb","<null>","-"
"spectrum:hidden/collect_jadeite","spectrum:hidden/collect_jadeite","<null>","-"
"spectrum:hidden/collect_koi","spectrum:hidden/collect_koi","<null>","-"
"spectrum:hidden/collect_milky_resin","spectrum:hidden/collect_milky_resin","<null>","-"
"spectrum:hidden/collect_paltaeria_gem","spectrum:hidden/collect_paltaeria_gem","<null>","-"
"spectrum:hidden/collect_pigment/black","spectrum:hidden/collect_pigment/black","<null>","-"
"spectrum:hidden/collect_pigment/blue","spectrum:hidden/collect_pigment/blue","<null>","-"
"spectrum:hidden/collect_pigment/brown","spectrum:hidden/collect_pigment/brown","<null>","-"
"spectrum:hidden/collect_pigment/cyan","spectrum:hidden/collect_pigment/cyan","<null>","-"
"spectrum:hidden/collect_pigment/gray","spectrum:hidden/collect_pigment/gray","<null>","-"
"spectrum:hidden/collect_pigment/green","spectrum:hidden/collect_pigment/green","<null>","-"
"spectrum:hidden/collect_pigment/light_blue","spectrum:hidden/collect_pigment/light_blue","<null>","-"
"spectrum:hidden/collect_pigment/light_gray","spectrum:hidden/collect_pigment/light_gray","<null>","-"
"spectrum:hidden/collect_pigment/lime","spectrum:hidden/collect_pigment/lime","<null>","-"
"spectrum:hidden/collect_pigment/magenta","spectrum:hidden/collect_pigment/magenta","<null>","-"
"spectrum:hidden/collect_pigment/orange","spectrum:hidden/collect_pigment/orange","<null>","-"
"spectrum:hidden/collect_pigment/pink","spectrum:hidden/collect_pigment/pink","<null>","-"
"spectrum:hidden/collect_pigment/purple","spectrum:hidden/collect_pigment/purple","<null>","-"
"spectrum:hidden/collect_pigment/red","spectrum:hidden/collect_pigment/red","<null>","-"
"spectrum:hidden/collect_pigment/white","spectrum:hidden/collect_pigment/white","<null>","-"
"spectrum:hidden/collect_pigment/yellow","spectrum:hidden/collect_pigment/yellow","<null>","-"
"spectrum:hidden/collect_primordial_torch","spectrum:hidden/collect_primordial_torch","<null>","-"
"spectrum:hidden/collect_purple_star_candy","spectrum:hidden/collect_purple_star_candy","<null>","-"
"spectrum:hidden/collect_pyrite","spectrum:hidden/collect_pyrite","<null>","-"
"spectrum:hidden/collect_raw_bloodstone","spectrum:hidden/collect_raw_bloodstone","<null>","-"
"spectrum:hidden/collect_rock_candy","spectrum:hidden/collect_rock_candy","<null>","-"
"spectrum:hidden/collect_rock_crystal","spectrum:hidden/collect_rock_crystal","<null>","-"
"spectrum:hidden/collect_sawblade_holly_berry","spectrum:hidden/collect_sawblade_holly_berry","<null>","-"
"spectrum:hidden/collect_shale_clay","spectrum:hidden/collect_shale_clay","<null>","-"
"spectrum:hidden/collect_shards/amethyst","spectrum:hidden/collect_shards/amethyst","<null>","-"
"spectrum:hidden/collect_shards/citrine","spectrum:hidden/collect_shards/citrine","<null>","-"
"spectrum:hidden/collect_shards/topaz","spectrum:hidden/collect_shards/topaz","<null>","-"
"spectrum:hidden/collect_slush","spectrum:hidden/collect_slush","<null>","-"
"spectrum:hidden/collect_stardust","spectrum:hidden/collect_stardust","<null>","-"
"spectrum:hidden/collect_stratine_gem","spectrum:hidden/collect_stratine_gem","<null>","-"
"spectrum:hidden/collect_vanilla/dragon_breath","spectrum:hidden/collect_vanilla/dragon_breath","<null>","-"
"spectrum:hidden/collect_vanilla/echo_shard","spectrum:hidden/collect_vanilla/echo_shard","<null>","-"
"spectrum:hidden/collect_vanilla/ender_eye","spectrum:hidden/collect_vanilla/ender_eye","<null>","-"
"spectrum:hidden/collect_vanilla/ghast_tear","spectrum:hidden/collect_vanilla/ghast_tear","<null>","-"
"spectrum:hidden/collect_vanilla/glow_lichen","spectrum:hidden/collect_vanilla/glow_lichen","<null>","-"
"spectrum:hidden/collect_vanilla/glowstone_dust","spectrum:hidden/collect_vanilla/glowstone_dust","<null>","-"
"spectrum:hidden/collect_vanilla/nautilus_shell","spectrum:hidden/collect_vanilla/nautilus_shell","<null>","-"
"spectrum:hidden/collect_vanilla/nether_star","spectrum:hidden/collect_vanilla/nether_star","<null>","-"
"spectrum:hidden/collect_vanilla/netherite_scrap","spectrum:hidden/collect_vanilla/netherite_scrap","<null>","-"
"spectrum:hidden/collect_vanilla/phantom_membrane","spectrum:hidden/collect_vanilla/phantom_membrane","<null>","-"
"spectrum:hidden/collect_vanilla/quartz","spectrum:hidden/collect_vanilla/quartz","<null>","-"
"spectrum:hidden/collect_vanilla/wither_skeleton_skull","spectrum:hidden/collect_vanilla/wither_skeleton_skull","<null>","-"
"spectrum:hidden/collect_weeping_gala","spectrum:hidden/collect_weeping_gala","<null>","-"
"spectrum:hidden/discover_rock_crystal","spectrum:hidden/discover_rock_crystal","<null>","-"
"spectrum:hidden/discover_weeping_gala","spectrum:hidden/discover_weeping_gala","<null>","-"
"spectrum:hidden/entity_interact/eraser","spectrum:hidden/entity_interact/eraser","<null>","-"
"spectrum:hidden/entity_interact/killed_by_monstrosity","spectrum:hidden/entity_interact/killed_by_monstrosity","<null>","-"
"spectrum:hidden/entity_interact/kindling","spectrum:hidden/entity_interact/kindling","<null>","-"
"spectrum:hidden/entity_interact/lizard","spectrum:hidden/entity_interact/lizard","<null>","-"
"spectrum:hidden/entity_interact/preservation_turret","spectrum:hidden/entity_interact/preservation_turret","<null>","-"
"spectrum:hidden/get_substantial_azure_dike_charge","spectrum:hidden/get_substantial_azure_dike_charge","<null>","-"
"spectrum:hidden/instilled_germinated_jade_vine_bulb","spectrum:hidden/instilled_germinated_jade_vine_bulb","<null>","-"
"spectrum:hidden/interact_with_doombloom","spectrum:hidden/interact_with_doombloom","<null>","-"
"spectrum:hidden/interact_with_dragonrot","spectrum:hidden/interact_with_dragonrot","<null>","-"
"spectrum:hidden/opened_guidebook","spectrum:hidden/opened_guidebook","<null>","-"
"spectrum:hidden/solve_any_preservation_ruin","spectrum:hidden/solve_any_preservation_ruin","<null>","-"
"spectrum:hidden/solve_every_preservation_ruin","spectrum:hidden/solve_every_preservation_ruin","<null>","-"
"spectrum:hidden/status_effects/advanced_sleep","spectrum:hidden/status_effects/advanced_sleep","<null>","-"
"spectrum:hidden/status_effects/another_roll","spectrum:hidden/status_effects/another_roll","<null>","-"
"spectrum:hidden/status_effects/any_sleep","spectrum:hidden/status_effects/any_sleep","<null>","-"
"spectrum:hidden/status_effects/ascension","spectrum:hidden/status_effects/ascension","<null>","-"
"spectrum:hidden/status_effects/calming","spectrum:hidden/status_effects/calming","<null>","-"
